Afrika	Afriko
Eurovision Song Contest	Eŭrovido-Kantokonkurso
Modena	Modeno
Whisky	Viskio
Víno	Vino
Voda	Akvo
Koňak (destilát)	Konjako
Cognac	Cognac
Drevo	Ligno
Tours	Tours
Televízia (prenos)	Televido
Pohlavie (biológia)	Sekso
Pornografia	Pornografio
Islandčina	Islanda lingvo
Claude Monet	Claude Monet
Diego Rodríguez de Silva y Velázquez	Diego Velázquez
Čile	Ĉilio
El Greco	El Greco
Ježiš Kristus	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Merkúr	Merkuro (planedo)
Dejiny	Historio
Cimetière du Père-Lachaise	Tombejo Père-Lachaise
Apple	Apple
Venuša	Venuso (planedo)
Jazyk (jazykoveda)	Lingvo
Láska	Amo
Diktatúra	Diktatoreco
Galaxia	Galaksio
Jupiter	Jupitero (planedo)
Michelle Bacheletová	Michelle Bachelet
Galaxia (Mliečna cesta)	Lakta vojo
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Veľký tresk	Praeksplodo
Urán (planéta)	Urano (planedo)
Anglická Wikipédia	Anglalingva Vikipedio
Nicolas Sarkozy	Nicolas Sarkozy
Neptún	Neptuno (planedo)
Astronómia	Astronomio
Singapur	Singapuro
Veda	Scienco
Kozmológia	Kosmologio
134340 Pluto	Plutono
Montreal	Montrealo
Slobodný softvér	Libera programaro
Quimper	Quimper
La Flèche	La Flèche
Budúcnosť	Estonteco
Mária (matka Ježiša)	Maria (patrino de Jesuo)
Ľudovít IX. (Francúzsko)	Ludoviko la 9-a (Francio)
Lichtenštajnsko	Liĥtenŝtejno
Šport	Sporto
Cambridge (Cambridgeshire)	Kembriĝo (Britio)
Yellowstonský národný park	Nacia Parko Yellowstone
Adolf Hitler	Adolf Hitler
Blanka Kastílska	Blanka de Kastilio
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Prvá svetová vojna	Unua mondmilito
Druhá svetová vojna	Dua mondmilito
Kolín nad Rýnom	Kolonjo
Korupcia	Korupto
Wikiknihy	Vikilibroj
Augusto Pinochet	Augusto Pinochet
Wikicitáty	Vikicitaro
Wikiverzita	Vikiversitato
Vodka	Vodko
Hodiny	Horloĝo
Ubuntu	Ubuntu (linukso)
Skopje	Skopjo
Gdyňa	Gdynia
Linux (operačný systém)	Linukso
Bob Dylan	Bob Dylan
Štetín	Szczecin
Matematika	Matematiko
U2 (hudobná skupina)	U2
Latinčina	Latina lingvo
Bahrajn	Barejno
Arménsko	Armenio
Klinové písmo	Kojnoskribo
Higgsov bozón	Bosono de Higgs
Srbsko	Serbio
Mesiac	Luno
Istanbul	Istanbulo
Austrália (štát)	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiológia	Astrobiologio
Fyzika	Fiziko
Argentína	Argentino
Telekomunikácie	Telekomunikado
Peru	Peruo
Biológia	Biologio
UFO	Nifo
Kórejská ľudovodemokratická republika	Nord-Koreio
Kambodža	Kamboĝo
Práva zvierat	Bestaj rajtoj
Kuiperov pás	Kujper-zono
Korán	Korano
Dinosaury	Dinosaŭro
Zoológia	Bestoscienco
Islam	Islamo
Alexandrijská knižnica	Librejo de Aleksandrio
Szczebrzeszyn	Szczebrzeszyn
Ľubľana	Ljubljano
Wąchock	Wąchock
Salvador Allende	Salvador Allende
Botanika	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Koleso (prenos pohybu)	Rado
Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
Denis Diderot	Denis Diderot
Georges Brassens	Georges Brassens
Myseľ	Menso
Mier	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Lyon	Liono
Poissy	Poissy
Európska únia	Eŭropa Unio
Plovdiv	Plovdiv
Hviezdne vojny (kult)	Star Wars
Rhône-Alpes	Rodano-Alpoj
World Wide Web	TTT
Žena	Virino
Sofia	Sofio
Akvadukt	Akvedukto
Dômyselný rytier Don Quijote de la Mancha	Kiĥoto
Poézia	Poezio
Lenivosť	Maldiligento
Počítačový vírus	Komputviruso
Černobyľská havária	Nuklea akcidento de Ĉernobilo
Miláno	Milano
Priateľ	Amikeco
Pamäť (psychológia)	Memoro
Jean Nicolas Arthur Rimbaud	Arthur Rimbaud
Turín	Torino
Výkal	Fekaĵo
Ritný otvor	Anuso
Citrón	Citrono
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banán	Banano
Émile Zola	Émile Zola
666	666
Kvet	Floro
Googol	Guglo
Googolplex	Gugloplekso
Mariánska priekopa	Mariana Fosego
Vladimir Semionovič Vysockij	Vladimir Visockij
Mount Everest	Ĉomolungmo
Anatómia	Anatomio
Mesto (všeobecne)	Urbo
Napoleon Bonaparte	Napoleono Bonaparte
Olympus Mons	Olympus Mons
Fyziológia	Fiziologio
Hviezda	Stelo
Vezuv	Vezuvio
Slnko	Suno
Obloha	Ĉielo
PSR 1257+12	PSR B1257+12
Louis Pasteur	Louis Pasteur
Svetelný rok	Lumjaro
Dedina (všeobecne)	Vilaĝo
Victor Hugo	Victor Hugo
Oceánia (ostrovy)	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Atletika	Atletiko
Cenzúra (kontrola informácií)	Cenzuro
Slnečná sústava	Sunsistemo
Baltské more	Balta Maro
Terst	Triesto
Visla	Vistulo
Avenue des Champs-Élysées	Avenuo de la Elizeaj Kampoj
Odra	Odro
Zub	Dento
Vodík	Hidrogeno
Hélium	Heliumo
Peklo	Infero
Wikimedia Commons	Vikimedia Komunejo
Očistec	Purgatorio
Angela Merkelová	Angela Merkel
Lítium	Litio
Berýlium	Berilio
Reproduktor (elektroakustický menič)	Laŭtparolilo
Kniha	Libro
Deň	Tago
Východný Timor	Orienta Timoro
Noc	Nokto
Rok	Jaro
Storočie	Jarcento
Lodž	Lodzo
Villeurbanne	Villeurbanne
Mont Blanc	Blanka Monto
Rýn	Rejno
Oslo	Oslo
Bonn	Bonn
Katovice	Katowice
Čierna diera	Nigra truo
Luis Vaz de Camões	Luís Vaz de Camões
Gay (homosexuál)	Gejo
1 Ceres	Cereso
Lisabon	Lisbono
Rzeszów	Rzeszów
136108 Haumea	Haŭmeo
Rhôna (rieka)	Rodano
136472 Makemake	Makemako (nanoplanedo)
Michael Bloomberg	Michael Bloomberg
Súlož	Seksumado
136199 Eris	Eriso
Dubaj (mesto)	Dubajurbo
Lionel Messi	Lionel Messi
Padova	Padovo
Bór	Boro
Mikuláš Kopernik	Koperniko
Versailles	Versailles
Ludwigsburg (mesto)	Ludwigsburg
Uhlík	Karbono
Alessandro Del Piero	Alessandro del Piero
Volga	Volgo
Dusík	Nitrogeno
Bergamo (mesto)	Bergamo
Kyslík	Oksigeno
FC Internazionale Miláno	Inter Milano
Jean Moulin	Jean Moulin
Neil Young	Neil Young
Planéta	Planedo
Kleopatra VII.	Kleopatra
Hudba	Muziko
Optická chyba	Aberacio (optiko)
Benátky	Venecio
Naruto	Naruto (mangao)
Pád (rieka)	Pado
Šarm aš-Šajch	Ŝarm el Ŝeiĥ
Neva	Neva
Teplomer	Termometro
Rennes	Rennes
Lille	Lille
Moskva	Moskvo
Fluór	Fluoro
Taliančina	Itala lingvo
Čivava	Ĉivava hundo
Neón	Neono
Petrohrad	Sankt-Peterburgo
Čad	Ĉado
Sodík	Natrio
Sever (svetová strana)	Nordo
Horčík	Magnezio
Šinsejki Evangelion	Neon Genesis Evangelion
Hliník	Aluminio
Nový Zéland	Nov-Zelando
Juh (svetová strana)	Sudo
India	Barato
Kremík	Silicio
Francium	Franciumo
Tuvalu	Tuvalo
One Piece	One Piece
Fosfor	Fosforo
André Marie Ampère	André-Marie Ampère
Próza	Prozo
Železo	Fero
Tonga	Tongo
Západ (svetová strana)	Okcidento
Alessandro Volta	Alessandro Volta
Síra	Sulfuro
Samoa (nezávislý štát)	Samoo
Východ (svetová strana)	Oriento
Šalamúnove ostrovy (štát)	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Chlór	Kloro
Delft	Delft
Papua-Nová Guinea	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Bájka	Fablo
Južný Holland	Suda Holando
Palau	Palaŭo
Argón	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Rozprávka	Fabelo
Severný Holland	Norda Holando
Mikronézia (štát)	Federacio de Mikronezio
Draslík	Kalio
Zéland (Holandsko)	Zelando
Vápnik	Kalcio
Flevoland	Flevolando
Olovo	Plumbo
Marshallove ostrovy	Marŝala Insularo
Kiribati	Kiribato
Mongolsko	Mongolio
Fidži	Fiĝioj
Skandium	Skandio
Stevie Wonder	Stevie Wonder
Heilbronn (mesto)	Hajlbrono
Titán (prvok)	Titano (elemento)
Venezuela	Venezuelo
Šach (hra)	Ŝako
Čingischán	Ĝingis-Ĥano
Vanád	Vanado
Maine	Majno
Chróm	Kromo
Kôň (podrod)	Ĉevalo
Amsterdam	Amsterdamo
Zbraň	Armilo
Živočíchy	Bestoj
Surinam	Surinamo
Mangán	Mangano
Paraguaj	Paragvajo
Guyana (štát)	Gujano
Umenie	Arto
Ekvádor	Ekvadoro
Rénium	Renio
Kolumbia	Kolombio
Kobalt	Kobalto
Jean Racine	Jean Racine
Volfrám	Volframo
Nikel	Nikelo
Jahoda (rod)	Frago
Pierre Corneille	Pierre Corneille
Budhizmus	Budhismo
Groningen (mesto v Holandsku)	Groningen (urbo)
Bolívia	Bolivio
Osmium	Osmio
Groningen (provincia)	Groningen (provinco)
Meď	Kupro
Trinidad a Tobago	Trinidado kaj Tobago
Paul Verlaine	Paul Verlaine
Rastliny	Plantoj
Svätý Vincent a Grenadíny	Sankta Vincento kaj Grenadinoj
Zinok	Zinko
New Hampshire	Nov-Hampŝiro
Svätá Lucia (štát)	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
Svätý Krištof a Nevis	Sankta-Kito kaj Neviso
Huby	Fungoj
Dario Fo	Dario Fo
Jamajka	Jamajko
Stéphane Mallarmé	Stéphane Mallarmé
Grenada	Grenado (lando)
Frízsko (provincia)	Frislando
Massachusetts	Masaĉuseco
Drenthe (provincia)	Drenthe
Overijssel	Overijssel
Guatemala (štát)	Gvatemalo
Gelderland	Gelderland
Utrecht (provincia)	Utrecht (provinco)
Google Chrome	Google Chrome
Bahamy	Bahamoj
Connecticut	Konektikuto
Kura domáca	Koko
Antigua a Barbuda	Antigvo-Barbudo
Havaj (štát USA)	Havajo
Honduras	Honduro
Dominika (štát)	Dominiko
Jersey	Ĵersejo
Dominikánska republika	Domingo
Sviňa domáca	Porko
Severný ľadový oceán	Arkta Oceano
Haiti (štát)	Haitio
Salvádor	Salvadoro
Zwolle	Zwolle
Irán	Irano
Irak	Irako
Aljaška	Alasko
Assen	Assen
Kostarika	Kostariko
Izrael	Israelo
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht
Panama (štát)	Panamo
Jemen	Jemeno
Lausanne	Laŭzano
Vírus	Viruso (biologio)
Poľština	Pola lingvo
Jordánsko	Jordanio
Nikaragua	Nikaragvo
Florida	Florido
Kirgizsko	Kirgizio
Arizona	Arizono
Kuvajt (štát)	Kuvajto
Laos	Laoso
Libanon	Libano
Oregon	Oregono
Maldivy	Maldivoj
Amerika (svetadiel)	Ameriko
Utah	Utaho
Malajzia	Malajzio
Valais (kantón)	Kantono Valezo
Michail Afanasievič Bulgakov	Miĥail Bulgakov
Mjanmarsko	Birmo
Nepál	Nepalo
Andrej Rubľov	Andreo Rublov
Omán	Omano
Pakistan	Pakistano
James Bond	James Bond (fikcia universo)
Katar (štát)	Kataro
Tenis	Teniso
François Villon	François Villon
MySQL	MySQL
Saudská Arábia	Sauda Arabio
Andrej Arsenievič Tarkovskij	Andrei Arsenjewitsch Tarkowski
Srí Lanka	Sri-Lanko
Josif Vissarionovič Stalin	Josif Stalin
Čiarový kód	Strekokodo
Sýria	Sirio
Platón	Platono
Gálium	Galiumo
Joseph Brodsky	Iosif Brodskij
Tadžikistan	Taĝikio
Pokémon	Pokemono
Taiwan	Respubliko Ĉinio
YouTube	YouTube
Germánium	Germaniumo
Aristoteles	Aristotelo
Thajsko	Tajlando
Vlak	Trajno
Arzén	Arseno
Rozhlas (zvuk)	Radiofonio
Meryl Streepová	Meryl Streep
Turkménsko	Turkmenio
Abakan	Abakan
Selén	Seleno
Irídium	Iridio
Spojené arabské emiráty	Unuiĝintaj Arabaj Emirlandoj
Bróm	Bromo
Platina	Plateno
Vietnam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsko
Kórejská republika	Sud-Koreio
Józef Piłsudski	Józef Piłsudski
Simpsonovci	La Simpsonoj
Jekaterinburg	Jekaterinburg
Kryptón	Kriptono
Afganistan	Afganio
Gangnam Style	Gangnam Style
Nižný Novgorod	Niĵnij Novgorod
J. R. R. Tolkien	John Ronald Reuel Tolkien
Samara	Samara (urbo)
Rubídium	Rubidio
Zlato	Oro
Omsk	Omsk
Suezský prieplav	Sueza Kanalo
Kazaň	Kazano
Vedec	Sciencisto
Bangladéš	Bangladeŝo
Bleach (manga)	Bleach
Franz Kafka	Franz Kafka
Čeľabinsk	Ĉeljabinsk
Rostov nad Donom	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Malio
Sokrates	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Perm (mesto)	Permjo
Bhután	Butano
Twitter	Twitter
Krasnojarsk	Krasnojarsk
Brunej	Brunejo
Brač	Brač
Tanzánia	Tanzanio
Ortuť	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipíny	Filipinoj
Stredoafrická republika	Centr-Afrika Respubliko
Tálium	Taliumo
Južný pól	Suda poluso
Severný pól	Norda poluso
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stroncium	Stroncio
Ytrium	Itrio
Bizmut	Bismuto
Žltá	Flava
Kvantová mechanika	Kvantuma mekaniko
Togo	Togolando
Donald Tusk	Donald Tusk
Tunisko	Tunizio
John Bardeen	John Bardeen
Zambia	Zambio
Zimbabwe	Zimbabvo
Peking	Pekino
Južný Sudán	Sud-Sudano
Vladivostok	Vladivostok
Tuviansko	Tuvio
Benin	Benino
Botswana	Bocvano
Wikinoviny	Vikinovaĵoj
Burkina	Burkino
Burundi	Burundo
Komory	Komoroj
Kongo (Brazzaville)	Respubliko Kongo
Alkmaar	Alkmaar
Ob (rieka)	Obo
Konžská demokratická republika	Demokratia Respubliko Kongo
San Antonio (Texas)	San Antonio (Teksaso)
Tomsk	Tomsk
Džibutsko	Ĝibutio
Mém	Memeo
Polónium	Polonio
Bavorsko	Bavario
Rovníková Guinea	Ekvatora Gvineo
Bádensko-Württembersko	Baden-Virtembergo
Eritrea	Eritreo
Naí Dillí	Nov-Delhio
Ján Pavol II.	Johano Paŭlo la 2-a
Štyria tankisti a pes	Czterej pancerni i pies
Fiodor Michajlovič Dostojevskij	Fjodor Dostojevskij
Amersfoort (mesto v Holandsku)	Amersforto
Kamčatka	Kamĉatko
Tbilisi	Tbiliso
Andrej Dmitrijevič Sacharov	Andrej Saĥarov
Astát	Astato
Gabon	Gabono
Móhandás Karamčand Gándhí	Mohandas Karamchand Gandhi
Čukotský polostrov	Ĉukotko
Solidarita (Poľsko)	Solidareco (Pollando)
Komiks	Bildliteraturo
Gambia (štát)	Gambio
Guinea (štát)	Gvineo
Guinea-Bissau	Gvineo Bisaŭa
Pobrežie Slonoviny	Ebur-Bordo
Kamerun	Kameruno
Maribor	Mariboro
Kapverdy	Kaboverdo
Celje	Celje
Lesotho	Lesoto
Libéria	Liberio
Koper	Kapodistrio
Líbya	Libio
Aachen	Aachen
Nova Gorica	Nova Gorica
Madagaskar	Madagaskaro
Malawi (štát)	Malavio
Kranj	Kranj
Stuttgart	Stutgarto
Triglav (vrch v Slovinsku)	Triglav
Mauritánia	Maŭritanio
Poliaci	Poloj
Maurícius	Maŭricio
Maroko	Maroko
Mozambik	Mozambiko
Namíbia	Namibio
France Prešeren	France Prešeren
Niger	Niĝero
Nigéria	Niĝerio
Biel/Bienne	Bielo
Charles Darwin	Charles Darwin
Uganda	Ugando
Rwanda	Ruando
Zirkónium	Zirkonio
Svätý Tomáš a Princov ostrov	Sao-Tomeo kaj Principeo
Karlsruhe (mesto)	Karlsruhe
Senegal	Senegalo
Seychely	Sejŝeloj
Carl Linné	Karolo Lineo
Sierra Leone	Siera-Leono
Somálsko	Somalio
Niób	Niobio
Džaváharlál Néhrú	Jawaharlal Nehru
Gaius Iulius Caesar	Julio Cezaro
Sudán	Sudano
Svazijsko	Svazilando
Dúha	Ĉielarko
Molybdén	Molibdeno
Technécium	Teknecio
Hamburg	Hamburgo
Látková premena	Metabolo
Imunitný systém	Imuna sistemo
Gudžarát	Guĝaratio
Ontárijské jazero	Ontario (lago)
Biologická evolúcia	Evoluismo
Alessandro Manzoni	Alessandro Manzoni
Organizácia Spojených národov	Unuiĝintaj Nacioj
Horné jazero	Supra Lago
Dante Alighieri	Dante Alighieri
Geológia	Geologio
Geografia	Geografio
Srdce (orgán)	Koro
Mozog	Cerbo
Koža	Haŭto
Farba (fyzika)	Koloro
Perníkový tatko	Breaking Bad
Salerno	Salerno
Podstatné meno	Substantivo
Praha	Prago
Ruténium	Rutenio
Ródium	Rodio
Modrá	Blua
Paládium	Paladio
Striebro	Arĝento
Kadmium	Kadmio
Star Trek (filmy a seriály)	Star Trek
Limbursko (holandská provincia)	Limburgo (Nederlando)
Indium	Indio
Limbursko (belgická provincia)	Limburgo (Belgio)
Cín	Stano
Urán (prvok)	Uranio
Antimón	Antimono
Telúr	Teluro
Severné Brabantsko	Norda Brabanto
Plutónium	Plutonio
Jód	Jodo
Neptúnium	Neptunio
Xenón	Ksenono
Anime	Animeo
Cézium	Cezio
Protaktínium	Protaktinio
Spojená federácia planét	Unuiĝinta Federacio de Planedoj
Elektrický náboj	Elektra ŝargo
Bárium	Bario
Západné Flámsko	Okcidenta Flandrio
Východné Flámsko	Orienta Flandrio
Tórium	Torio
Antverpy (provincia)	Antverpeno (provinco)
Flámsky Brabant	Flandra Brabanto
Hafnium	Hafnio
Aktínium	Aktinio
Valónsky Brabant	Valona Brabanto
Tantal	Tantalo
Bill Clinton	William J. Clinton
Namursko (provincia)	Namuro (provinco)
Luxembourg (provincia)	Luksemburgo (Belgio)
Lutyšsko (provincia)	Lieĝo (provinco)
Rádium	Radiumo
Hennegavsko (provincia)	Henegovio
Radón	Radono
Lotrinsko (región)	Loreno
Alsasko	Alzaco
Indira Gándhiová	Indira Gandhi
Merkúr (boh)	Merkuro (dio)
Hector Berlioz	Louis Hector Berlioz
Auvergne (región)	Aŭvernjo
Busto Arsizio	Busto Arsizio
Bombaj	Mumbajo
Medzinárodná asociácia atletických federácií	Internacia Asocio de Atletikaj Federacioj
Ándhrapradéš	Andra-Pradeŝo
Arunáčalpradéš	Arunaĉal-Pradeŝo
Ásam	Asamo
Bihár (štát)	Biharo
Michigan	Miĉigano
Čhattísgarh	Ĉhatisgaro
Michiganské jazero	Miĉigano (lago)
Goa	Goao
Burgundsko (región)	Burgonjo
Harijána	Harjano
Himáčalpradéš	Himaĉal-Pradeŝo
Maurice Ravel	Maurice Ravel
Akvitánsko	Akvitanio
Džammú a Kašmír	Ĝamuo kaj Kaŝmiro
Portoriko	Porto-Riko
Džhárkhand	Ĝharkhando
Karnátaka	Karnatako
Kérala	Keralao
Madhjapradéš	Madhja-Pradeŝo
Usain Bolt	Usain Bolt
Limuzínsko (región)	Limoĝio
Maháraštra	Maharaŝtro
Jean-Baptiste Lully	Jean-Baptiste Lully
Manípur	Manipuro
Šlezvicko-Holštajnsko	Ŝlesvigo-Holstinio
Meghálaj	Meghalajo
Meklenbursko-Predpomoransko	Meklenburgo-Antaŭpomerio
Dolné Sasko	Malsupra Saksio
Severné Porýnie-Vestfálsko	Nordrejn-Vestfalio
Hesensko	Hesio
Porýnie-Falcko	Rejnlando-Palatinato
Sársko	Sarlando
Sasko	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Durínsko	Turingio
Sasko-Anhaltsko	Saksio-Anhalto
Severná Dakota	Norda Dakoto
Brandenbursko	Brandenburgio
Brémy (krajina)	Libera hansa urbo Bremeno
Lombardsko	Lombardujo
Južná Dakota	Suda Dakoto
Montana (USA)	Montano
Wyoming	Vajomingo
Piemont	Piemonto
Jeruzalem	Jerusalemo
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d’Aosta	Aosta Valo
Washington (štát USA)	Vaŝingtonio
Bruce Springsteen	Bruce Springsteen
Rutherfordium	Ruterfordio
Nevada (štát USA)	Nevado
Don	Don (rivero)
Dubnium	Dubnio
Seaborgium	Seborgio
Tridentsko-Horná Adiža	Trentino-Alto Adige
Indický oceán	Hinda Oceano
Benátsko	Veneto
Kosovo	Kosovo
Karibské more	Kariba Maro
Bohrium	Borio
Furlansko-Júlske Benátky	Friulo-Venecio Julia
Hassium	Hasio
Pan Ki-mun	Ban Ki-moon
Kofi Annan	Kofi Annan
Ligúria	Ligurio
Butrus Butrus-Gálí	Boutros Boutros-Ghali
Meitnerium	Mejtnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado (štát USA)	Koloradio
Emilia-Romagna	Emilio-Romanjo
U Thant	U Thant
Colorado (rieka, Veľký kaňon)	Kolorado (rivero)
Darmstadtium	Darmŝtatio
