Afrihkká	Afriko
Ljubljana	Ljubljano
Lech Wałęsa	Lech Wałęsa
Eurohpá uniovdna	Eŭropa Unio
Rhône-Alpes	Rodano-Alpoj
Sofia	Sofio
666	666
Mount Everest	Ĉomolungmo
Beaivváš	Suno
Oseania	Oceanio
Beaivvášgoddi	Sunsistemo
Angela Merkel	Angela Merkel
Jándor	Tago
Nuorta-Timor	Orienta Timoro
Jahki	Jaro
Jahkečuohti	Jarcento
Oslo	Oslo
Katowice	Katowice
Lisboa	Lisbono
Dubai	Dubajo
Planehta	Planedo
Moskva	Moskvo
Itáliagiella	Itala lingvo
Chad	Ĉado
Ođđa-Selánda	Nov-Zelando
India	Barato
Tuvalu	Tuvalo
Tonga	Tongo
Samoa	Samoo
Salomonsullot	Salomonoj
Vanuatu	Vanuatuo
Papua-Ođđa-Guinea	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Palau	Palaŭo
Nauru	Nauro
Mikronesia	Federacio de Mikronezio
Marshallsullot	Marŝala Insularo
Kiribati	Kiribato
Mongolia	Mongolio
