Āfrika	Afriko
Vikipēdija angļu valodā	Anglalingva Vikipedio
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Neptuno (planedo)
Astronomija	Astronomio
Singapūra	Singapuro
Zinātne	Scienco
Kosmoloģija	Kosmologio
Plutons (pundurplanēta)	Plutono
Monreāla	Montrealo
Brīvā programmatūra	Libera programaro
Kempēra	Quimper
Jaunava Marija	Maria (patrino de Jesuo)
Luijs IX	Ludoviko la 9-a (Francio)
Lihtenšteina	Liĥtenŝtejno
Sports	Sporto
Kembridža	Kembriĝo (Britio)
Jeloustonas nacionālais parks	Nacia Parko Yellowstone
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Kultūras piemineklis	Protektita monumento
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Unua mondmilito
Otrais pasaules karš	Dua mondmilito
Ķelne	Kolonjo
Korupcija	Korupto
Wikibooks	Vikilibroj
Augusto Pinočets	Augusto Pinochet
Wikiquote	Vikicitaro
Wikiversity	Vikiversitato
Wikivoyage	Vikivojaĝo
Degvīns	Vodko
Pulkstenis	Horloĝo
Janka Kupala	Janka Kupala
Ubuntu Linux	Ubuntu (linukso)
Skopje	Skopjo
Gdiņa	Gdynia
GNU/Linux	Linukso
Bobs Dilans	Bob Dylan
Ščecina	Szczecin
Matemātika	Matematiko
U2	U2
Latīņu valoda	Latina lingvo
Bahreina	Barejno
Armēnija	Armenio
Ķīļraksts	Kojnoskribo
Higsa bozons	Bosono de Higgs
Serbija	Serbio
Mēness	Luno
Stambula	Istanbulo
Austrālija	Aŭstralio
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Astrobiologio
Fizika	Fiziko
Argentīna	Argentino
Telesakari	Telekomunikado
Peru	Peruo
Bioloģija	Biologio
Neidentificēts lidojošs objekts	Nifo
Ziemeļkoreja	Nord-Koreio
Kambodža	Kamboĝo
Dzīvnieku tiesības	Bestaj rajtoj
Koipera josla	Kujper-zono
Korāns	Korano
Dinozauri	Dinosaŭro
Zooloģija	Bestoscienco
Islāms	Islamo
Bumbieres	Pirarbo
Aleksandrijas bibliotēka	Librejo de Aleksandrio
Ščebžešina	Szczebrzeszyn
Ļubļana	Ljubljano
Vonhocka	Wąchock
Salvadors Aljende	Salvador Allende
Botānika	Plantoscienco
Lehs Valensa	Lech Wałęsa
Ritenis	Rado
Enciklopēdija (Denī Didro)	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Menso
Miers	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Liona	Liono
Eiropas Savienība	Eŭropa Unio
Plovdiva	Plovdiv
Zvaigžņu kari	Star Wars
Rona-Alpi	Rodano-Alpoj
Vispasaules tīmeklis	TTT
Sieviete	Virino
Sofija	Sofio
Akvedukts	Akvedukto
Dons Kihots	Kiĥoto
Dzeja	Poezio
Datorvīruss	Komputviruso
Černobiļas AES katastrofa	Nuklea akcidento de Ĉernobilo
Milāna	Milano
Draudzība	Amikeco
Atmiņa	Memoro
Arturs Rembo	Arthur Rimbaud
Turīna	Torino
Izkārnījumi	Fekaĵo
Anālā atvere	Anuso
Citrons	Citrono
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Banāni	Banano
Emīls Zolā	Émile Zola
Zieds	Floro
Gugols	Guglo
Gugolplekss	Gugloplekso
Marianas dziļvaga	Mariana Fosego
Vladimirs Visockis	Vladimir Visockij
Everests	Ĉomolungmo
Anatomija	Anatomio
Pilsēta	Urbo
Napoleons Bonaparts	Napoleono Bonaparte
Olimpa kalns (Marss)	Olympus Mons
Fizioloģija	Fiziologio
Zvaigzne	Stelo
Vezuvs	Vezuvio
Saule	Suno
Debesis	Ĉielo
Luijs Pastērs	Louis Pasteur
Gaismas gads	Lumjaro
Ciems	Vilaĝo
Viktors Igo	Victor Hugo
Okeānija	Oceanio
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Atletiko
Cenzūra	Cenzuro
Saules sistēma	Sunsistemo
Baltijas jūra	Balta Maro
Trieste	Triesto
Visla	Vistulo
Elizejas lauki	Avenuo de la Elizeaj Kampoj
Odera	Odro
Zobi	Dento
Ūdeņradis	Hidrogeno
Hēlijs	Heliumo
Elle	Infero
Vikikrātuve	Vikimedia Komunejo
Šķīstītava	Purgatorio
Angela Merkele	Angela Merkel
Litijs	Litio
Berilijs	Berilio
Skaļrunis	Laŭtparolilo
Grāmata	Libro
Diennakts	Tago
Austrumtimora	Orienta Timoro
Nakts	Nokto
Gads	Jaro
Gadsimts	Jarcento
Lodza	Lodzo
Monblāns	Blanka Monto
Reina	Rejno
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	Ĉiuj Sanktuloj
Katovice	Katowice
Melnais caurums	Nigra truo
Luišs di Kamoinšs	Luís Vaz de Camões
Gejs	Gejo
Romas karalis	The King of Rome
Cerera	Cereso
Lisabona	Lisbono
Žešova	Rzeszów
Haumeja	Haŭmeo
Rona	Rodano
Makemake	Makemako (nanoplanedo)
Maikls Blumbergs	Michael Bloomberg
Sekss	Seksumado
Erīda (pundurplanēta)	Eriso
Dubaija	Dubajo
Lionels Mesi	Lionel Messi
Paduja	Padovo
Bors	Boro
Nikolajs Koperniks	Koperniko
Versaļa	Versailles
Ogleklis	Karbono
Alesandro Del Pjēro	Alessandro del Piero
Volga	Volgo
Slāpeklis	Nitrogeno
Bergamo	Bergamo
Skābeklis	Oksigeno
Milānas @@@u0026Internazionale"	Inter Milano
Nīls Jangs	Neil Young
Planēta	Planedo
Kleopatra	Kleopatra
Keita Buša	Kate Bush
Mūzika	Muziko
Venēcija	Venecio
Naruto	Naruto (mangao)
Po (upe)	Pado
Šarm eš Šeiha	Ŝarm el Ŝeiĥ
Ņeva	Neva
Termometrs	Termometro
Renna	Rennes
Lille	Lille
Maskava	Moskvo
Fluors	Fluoro
Itāļu valoda	Itala lingvo
Čivava (suņu šķirne)	Ĉivava hundo
Neons	Neono
Čivava	Chihuahua
Sanktpēterburga	Sankt-Peterburgo
Čada	Ĉado
Nātrijs	Natrio
Ziemeļi	Nordo
Magnijs	Magnezio
Alumīnijs	Aluminio
Jaunzēlande	Nov-Zelando
Dienvidi	Sudo
Indija	Barato
Silīcijs	Silicio
Francijs	Franciumo
Tuvalu	Tuvalo
Fosfors	Fosforo
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prozo
Dzelzs	Fero
Tonga	Tongo
Rietumi	Okcidento
Alesandro Volta	Alessandro Volta
Sērs	Sulfuro
Samoa	Samoo
Austrumi	Oriento
Zālamana Salas	Salomonoj
Vanuatu	Vanuatuo
Moljērs	Molière
Hlors	Kloro
Delfta	Delft
Papua-Jaungvineja	Papuo-Nov-Gvineo
Viljams Šekspīrs	William Shakespeare
Fabula	Fablo
Dienvidholande	Suda Holando
Palau	Palaŭo
Argons	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Pasaka	Fabelo
Ziemeļholande	Norda Holando
Mikronēzija (valsts)	Federacio de Mikronezio
Kālijs	Kalio
Zēlande (province)	Zelando
Kalcijs	Kalcio
Flevolande	Flevolando
Svins	Plumbo
Māršala Salas	Marŝala Insularo
Kiribati	Kiribato
Mongolija	Mongolio
Fidži	Fiĝioj
Skandijs	Skandio
Stīvijs Vonders	Stevie Wonder
Heilbronna	Hajlbrono
Titāns	Titano (elemento)
Venecuēla	Venezuelo
Šahs	Ŝako
Čingishans	Ĝingis-Ĥano
Vanādijs	Vanado
Meina	Majno
Hroms	Kromo
Mājas zirgs	Ĉevalo
Amsterdama	Amsterdamo
Ierocis	Armilo
Dzīvnieki	Bestoj
Surinama	Surinamo
Mangāns	Mangano
Paragvaja	Paragvajo
Gajāna	Gujano
Māksla	Arto
Ekvadora	Ekvadoro
Rēnijs	Renio
Kolumbija	Kolombio
Kobalts	Kobalto
Žans Rasins	Jean Racine
Volframs	Volframo
Niķelis	Nikelo
Zemenes	Frago
Pjērs Korneijs	Pierre Corneille
Budisms	Budhismo
Groningena	Groningen (urbo)
Bolīvija	Bolivio
Osmijs	Osmio
Groningena (province)	Groningen (provinco)
Varš	Kupro
Trinidāda un Tobāgo	Trinidado kaj Tobago
Pols Verlēns	Paul Verlaine
Augi	Plantoj
Sentvinsenta un Grenadīnas	Sankta Vincento kaj Grenadinoj
Cinks	Zinko
Ņūhempšīra	Nov-Hampŝiro
Sentlūsija	Sankta Lucio
Bjalistoka	Bjalistoko
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	Sankta-Kito kaj Neviso
Sēnes	Fungoj
Dario Fo	Dario Fo
Jamaika	Jamajko
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Grenado (lando)
Frīzlande	Frislando
Masačūsetsa	Masaĉuseco
Drente	Drenthe
Overeisela	Overijssel
Gvatemala	Gvatemalo
Gelderlande	Gelderland
Utrehta (province)	Utrecht (provinco)
Google Chrome	Google Chrome
Bahamas	Bahamoj
Konektikuta	Konektikuto
Mājas vista	Koko
Antigva un Barbuda	Antigvo-Barbudo
Havajas	Havajo
Hondurasa	Honduro
Dominika	Dominiko
Džērsija	Ĵersejo
Dominikāna	Domingo
Mājas cūka	Porko
Ziemeļu Ledus okeāns	Arkta Oceano
Haiti	Haitio
Salvadora	Salvadoro
Zvolle	Zwolle
Irāna	Irano
Irāka	Irako
Aļaska	Alasko
Asena	Assen
Gudrība	Saĝo
Kostarika	Kostariko
Izraēla	Israelo
Novi Sonča	Nowy Sącz
Utrehta	Utrecht
Panama	Panamo
Jemena	Jemeno
Lozanna	Laŭzano
Vīruss	Viruso (biologio)
Poļu valoda	Pola lingvo
Jordānija	Jordanio
Nikaragva	Nikaragvo
Florida	Florido
Kirgizstāna	Kirgizio
Arizona	Arizono
Kuveita	Kuvajto
Laosa	Laoso
Libāna	Libano
Oregona	Oregono
Maldīvija	Maldivoj
Amerika	Ameriko
Jūta	Utaho
Liellops	Bovo
Malaizija	Malajzio
Valē kantons	Kantono Valezo
Mihails Bulgakovs	Miĥail Bulgakov
Mjanma	Birmo
Nepāla	Nepalo
Omāna	Omano
Pakistāna	Pakistano
Džeimss Bonds	James Bond (fikcia universo)
Katara	Kataro
Teniss	Teniso
MySQL	MySQL
Saūda Arābija	Sauda Arabio
Andrejs Tarkovskis	Andrei Arsenjewitsch Tarkowski
Šrilanka	Sri-Lanko
Josifs Staļins	Josif Stalin
Svītrkods	Strekokodo
Sīrija	Sirio
Platons	Platono
Gallijs	Galiumo
Josifs Brodskis	Iosif Brodskij
Tadžikistāna	Taĝikio
Pokemoni	Pokemono
Ķīnas Republika	Respubliko Ĉinio
YouTube	YouTube
Germānijs	Germaniumo
Aristotelis	Aristotelo
Taizeme	Tajlando
Vilciens	Trajno
Arsēns	Arseno
Radio	Radiofonio
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkmenio
Abakana	Abakan
Selēns	Seleno
Irīdijs	Iridio
Apvienotie Arābu Emirāti	Unuiĝintaj Arabaj Emirlandoj
Broms	Bromo
Platīns	Plateno
Vjetnama	Vjetnamio
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Novosibirsko
Dienvidkoreja	Sud-Koreio
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	La Simpsonoj
Jekaterinburga	Jekaterinburg
Kriptons	Kriptono
Afganistāna	Afganio
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Niĵnij Novgorod
Džons Ronalds Rūels Tolkīns	John Ronald Reuel Tolkien
Samara	Samara (urbo)
Rubīdijs	Rubidio
Zelts	Oro
Omska	Omsk
Suecas kanāls	Sueza Kanalo
Kazaņa	Kazano
Zinātnieks	Sciencisto
Bangladeša	Bangladeŝo
Bleach (manga)	Bleach
Francs Kafka	Franz Kafka
Čeļabinska	Ĉeljabinsk
Rostova pie Donas	Rostov-na-Donu
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Ufa
Mali	Malio
Sokrats	Sokrato
Volgograda	Volgogrado
Angola	Angolo
Perma	Permjo
Butāna	Butano
Twitter	Twitter
Krasnojarska	Krasnojarsk
Bruneja	Brunejo
Tanzānija	Tanzanio
Dzīvsudrabs	Hidrargo
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Filipinoj
Centrālāfrikas Republika	Centr-Afrika Respubliko
Tallijs	Taliumo
Dienvidpols	Suda poluso
Ziemeļpols	Norda poluso
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Stroncio
Pedru I	Petro la 1-a (Brazilo)
Itrijs	Itrio
Bismuts	Bismuto
Dzeltenā krāsa	Flava
Kvantu mehānika	Kvantuma mekaniko
Togo	Togolando
Donalds Tusks	Donald Tusk
Tunisija	Tunizio
Džons Bardīns	John Bardeen
Zambija	Zambio
Zimbabve	Zimbabvo
Pekina	Pekino
Dienvidsudāna	Sud-Sudano
Vladivostoka	Vladivostok
Tiva	Tuvio
Benina	Benino
Botsvana	Bocvano
Wikinews	Vikinovaĵoj
Burkinafaso	Burkino
Burundi	Burundo
Komoras	Komoroj
Kongo Republika	Respubliko Kongo
Alkmāra	Alkmaar
Oba	Obo
Kongo Demokrātiskā Republika	Demokratia Respubliko Kongo
Sanantonio	San Antonio (Teksaso)
Tomska	Tomsk
Džibutija	Ĝibutio
Mēme	Memeo
Polonijs	Polonio
Bavārija	Bavario
Ekvatoriālā Gvineja	Ekvatora Gvineo
Bādene-Virtemberga	Baden-Virtembergo
Eritreja	Eritreo
Ņūdeli	Nov-Delhio
Jānis Pāvils II	Johano Paŭlo la 2-a
Fjodors Dostojevskis	Fjodor Dostojevskij
Amersforta	Amersforto
Kamčatkas pussala	Kamĉatko
Tbilisi	Tbiliso
Andrejs Saharovs	Andrej Saĥarov
Zīdainis	Bebo
Astats	Astato
Gabona	Gabono
Mohandass Karamčands Gandijs	Mohandas Karamchand Gandhi
Čukču pussala	Ĉukotko
Komikss	Bildliteraturo
Gambija	Gambio
Gvineja	Gvineo
Gvineja-Bisava	Gvineo Bisaŭa
Kotdivuāra	Ebur-Bordo
Kamerūna	Kameruno
Maribora	Mariboro
Kaboverde	Kaboverdo
Lesoto	Lesoto
Libērija	Liberio
Lībija	Libio
Āhene	Aachen
Madagaskara	Madagaskaro
Malāvija	Malavio
Štutgarte	Stutgarto
Mauritānija	Maŭritanio
Poļi	Poloj
Maurīcija	Maŭricio
Maroka	Maroko
Mozambika	Mozambiko
Namībija	Namibio
Nigēra	Niĝero
Nigērija	Niĝerio
Čārlzs Darvins	Charles Darwin
Uganda	Ugando
Ruanda	Ruando
Cirkonijs	Zirkonio
Santome un Prinsipi	Sao-Tomeo kaj Principeo
Karlsrūe	Karlsruhe
Senegāla	Senegalo
Seišelas	Sejŝeloj
Kārlis Linnejs	Karolo Lineo
Sjerraleone	Siera-Leono
Somālija	Somalio
Niobijs	Niobio
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Julio Cezaro
Sudāna	Sudano
Svazilenda	Svazilando
Varavīksne	Ĉielarko
Molibdēns	Molibdeno
Tehnēcijs	Teknecio
Hamburga	Hamburgo
Vielmaiņa	Metabolo
Narēndra Modi	Narendra Modi
Imūnsistēma	Imuna sistemo
Gudžarāta	Guĝaratio
Ontārio ezers	Ontario (lago)
Evolūcija	Evoluismo
Apvienoto Nāciju Organizācija	Unuiĝintaj Nacioj
Augšezers	Supra Lago
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geologio
Amdāvāda	Ahmadabado
Ģeogrāfija	Geografio
Sirds	Koro
Smadzenes	Cerbo
Āda	Haŭto
Krāsa	Koloro
Pārkāpt robežu	Breaking Bad
Salerno	Salerno
Lietvārds	Substantivo
Prāga	Prago
Rutēnijs	Rutenio
Rodijs	Rodio
Zilā krāsa	Blua
Pallādijs	Paladio
Sudrabs	Arĝento
Kadmijs	Kadmio
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Limburgo (Nederlando)
Indijs	Indio
Limburga (Beļģija)	Limburgo (Belgio)
Alva	Stano
Urāns (elements)	Uranio
Antimons	Antimono
Telūrs	Teluro
Ziemeļbrabante	Norda Brabanto
Plutonijs	Plutonio
Jods (elements)	Jodo
Neptūnijs	Neptunio
Ksenons	Ksenono
Anime	Animeo
Cēzijs	Cezio
Protaktīnijs	Protaktinio
Elektriskais lādiņš	Elektra ŝargo
Bārijs	Bario
Rietumflandrija	Okcidenta Flandrio
Austrumflandrija	Orienta Flandrio
Torijs	Torio
Antverpenes province	Antverpeno (provinco)
Flāmu Brabante	Flandra Brabanto
Hafnijs	Hafnio
Aktīnijs	Aktinio
Valoņu Brabante	Valona Brabanto
Tantals	Tantalo
Bills Klintons	William J. Clinton
Namīras province	Namuro (provinco)
Luksemburgas province	Luksemburgo (Belgio)
Ljēžas province	Lieĝo (provinco)
Rādijs	Radiumo
Eno	Henegovio
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radono
Lotringa	Loreno
Elzasa	Alzaco
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Merkuro (dio)
Ektors Berliozs	Louis Hector Berlioz
Overņa	Aŭvernjo
Mumbaja	Mumbajo
Starptautiskā vieglatlētikas federācija	Internacia Asocio de Atletikaj Federacioj
Āndhra Pradēša	Andra-Pradeŝo
Arunāčala Pradēša	Arunaĉal-Pradeŝo
Asama	Asamo
Bihāra	Biharo
Mičigana	Miĉigano
Čhatīsgarha	Ĉhatisgaro
Mičigans	Miĉigano (lago)
Goa	Goao
Burgundija	Burgonjo
Harjāna	Harjano
Himāčala Pradēša	Himaĉal-Pradeŝo
Moriss Ravēls	Maurice Ravel
Akvitānija	Akvitanio
Džammu un Kašmīra	Ĝamuo kaj Kaŝmiro
Puertoriko	Porto-Riko
Džhārkhanda	Ĝharkhando
Karnātaka	Karnatako
Kerala	Keralao
Madhja Pradēša	Madhja-Pradeŝo
Useins Bolts	Usain Bolt
Limuzēna	Limoĝio
Mahārāštra	Maharaŝtro
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipuro
Šlēsviga-Holšteina	Ŝlesvigo-Holstinio
Meghālaja	Meghalajo
Mēklenburga-Priekšpomerānija	Meklenburgo-Antaŭpomerio
Lejassaksija	Malsupra Saksio
Ziemeļreina-Vestfālene	Nordrejn-Vestfalio
Hesene	Hesio
Reinzeme-Pfalca	Rejnlando-Palatinato
Zāra (zeme)	Sarlando
Saksija	Saksio
Džons Lenons	John Lennon
Ilinoisa	Ilinojso
Tīringene	Turingio
Saksija-Anhalte	Saksio-Anhalto
Ziemeļdakota	Norda Dakoto
Brandenburga (zeme)	Brandenburgio
Brēmene (federālā zeme)	Libera hansa urbo Bremeno
Lombardija	Lombardujo
Dienviddakota	Suda Dakoto
Montāna	Montano
Vaiominga	Vajomingo
Pjemonta	Piemonto
Jeruzaleme	Jerusalemo
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Aosta Valo
Vašingtona (štats)	Vaŝingtonio
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Ruterfordio
Nevada	Nevado
Dona	Don (rivero)
Dubnijs	Dubnio
Sīborgijs	Seborgio
Trentīno-Alto Adidže	Trentino-Alto Adige
Indijas okeāns	Hinda Oceano
Veneto	Veneto
Kosova	Kosovo
Karību jūra	Kariba Maro
Borijs	Borio
Friuli-Venēcija Džūlija	Friulo-Venecio Julia
Hasijs	Hasio
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Ligurio
Butross Butross-Gali	Boutros Boutros-Ghali
Meitnērijs	Mejtnerio
Kurts Valdheims	Kurt Waldheim
Kolorādo	Koloradio
Emīlija-Romanja	Emilio-Romanjo
U Tans	U Thant
Kolorādo (upe)	Kolorado (rivero)
Darmštatijs	Darmŝtatio
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Frédéric Chopin
Rentgenijs	Rentgenio
Toskāna	Toskanio
Leonards Koens	Leonard Cohen
Kopernikijs	Kopernicio
Marke	Markio (Italio)
Umbrija	Umbrio
Lacio	Latio
Abruco	Abruco
Apenīni	Apeninoj
Alpi	Alpoj
Karpati	Karpatoj
Grenoble	Grenoblo
