ئافرىقا	Afriko
Budapésht	Budapeŝto
Danzig	Gdańsk
Frankfort	Frankfurto ĉe Majno
Wroklaw	Vroclavo
لانتان	Lantano
جۈي	Prometio
چالغا	Samario (kemio)
گادولنىي	Gadolinio
تېربىي	Terbio
Katolik dini	Katolikismo
ليۇكسېمبۇرگ شەھىرى	Luksemburgo
دىسپروزىي	Disprozio
ۋادۇز	Vaduzo
ئىنجىل	Biblio
گولمىي	Holmio
ئېربىي	Erbio
فنوم پېن	Pnom-Peno
تۇلىي	Tulio
سايگون	Ho-Ĉi-Min-urbo
ئىتتېربىي	Iterbio
لۇتېتسىي	Lutecio
خانوي	Hanojo
ھەقىقى ئەيسا چېركاۋى	Vera Eklezio de Jesuo
ئىنگىلىز تىلى	Angla lingvo
Bangkok	Bankoko
ئاندوررا كەنتى	Andoro Malnova
كۇئالالۇمپۇر	Kuala-Lumpuro
تەيبېي شەھىرى	Tajpeo
ئامېرىتسىي	Americio
كىيۇرىي	Kuriumo
Concepción, Chile	Koncepciono
بېركېلىي	Berkelio
كالىفورنىي	Kaliforniumo
ئېينشتېينىي	Ejnŝtejnio
فېرمىي	Fermio
مېندېلېيېۋىي	Mendelevio
كىيېۋ	Kievo
نوبېلىي	Nobelio
لاۋرېنسىي	Laŭrencio (elemento)
كارېلىيە	Karelio (respubliko)
Ottawa	Otavo
Manitoba Ölkisi	Manitobo
Albérta	Alberto
Nowa Skotiye Ölkisi	Nov-Skotio
يېرېۋان	Erevano
دارېسسالام	Daresalamo
خارتۇم	Ĥartumo
Yéngi Brunswik Ölkisi	Nov-Brunsviko
Britani Kolumbiye	Brita Kolumbio
Saskachéwan	Saskaĉevano
Néwfundland Ölkisi	Novlando kaj Labradoro
Gherbiy Shimal Rayoni	Nordokcidentaj Teritorioj
Yukon Rayoni	Jukonio
Florénsa	Florenco
Ésén	Essen
كومى	Komiio
Léypzig	Leipzig
Nyurnbérg	Nurenbergo
Édmonton	Edmontono
Man'géym	Mannheim
Wiktoriye, Britani Kolumbiye	Viktorio
Winnipég	Vinipego
Halifaks	Halifakso
Kwébék Shehiri	Kebeko
ئېلېكترون	Elektrono
Birmin'gxam	Birmingham
مىنىسكى	Minsko
مىكروسوفىت شىركىتى	Microsoft
پروتون	Protono
Kurow	Kurów
Naplés	Napolo
Braunshwéyg	Braunschweig
Madrid	Madrido
سۇ ئاستى كېمىسى	Submarŝipo
مايكېل جېكسۇن	Michael Jackson
Bogota	Bogoto
لىما	Limo
Santiyago	Santiago de Ĉilio
كىتو	Kito
سۇكرې	Sukro
ئاسۇنسىئون	Asunciono
Öçke	Hejma kapro
Héydélbérg	Heidelberg
كاتماندۇ	Katmanduo
سان خوسې (كوستارىكا)	San-Joseo (Kostariko)
سان سالۋادور	San-Salvadoro
Kanbérra	Kanbero
Sidnéy	Sidnejo
يېشىل رەڭ	Verdo
Mélburn	Melburno
قىزىل رەڭ	Ruĝa
ماناگۇئا	Managvo
رابات	Rabato
قۇيرۇقلۇق يۇلتۇز	Kometo
ئالجىر	Alĝero
تۇنىس شەھىرى	Tunizo
ترىپولى	Tripolo
تېھران	Teherano
جاكارتا	Ĝakarto
Enqere	Ankaro
رىياد	Riado
بېلگراد	Beogrado
ئادىگېيە	Adigeio
پرايا	Prajo
دەمەشىق	Damasko
يامۇسسۇكرو	Jamusukro
فرانسىيىگە قاراشلىق گۋىئانا	Franca Gviano
لومې	Lomeo
ئاممان	Amano
بېيرۇت	Bejruto
مۇسكات	Maskato
نىكوسىيە	Nikozio
دوھا	Doho
نايروبى	Najrobo
لۇساكا	Lusako
قۇياش تۇتۇلۇشى	Suna eklipso
كامپالا	Kampalo
Mektep	Lernejo
ھارارې	Harareo
Prétoriye	Pretorio
Astiraxan	Astraĥano
Tiktak top	Tabloteniso
Wikipedia:Sandbox	Vikipedio:Provejo
قالماقىستان	Kalmukio
Osasko	Osasco (San-Paŭlo)
Glasgow	Glasgovo
Kuritiba	Kuritibo
Orman	Arbaro
بوغاز كۆۋرۈكى	Bosporo-ponto
كۇڭزى	Konfuceo
كوربين بيلو	Corbin Bleu
Surat	Surat
ياۋرۇ	Eŭro
ئامېرىكا دولىرى	Usona dolaro
يەر ئوتتۇرا دېڭىزى	Mediteraneo
خاڭجۇ شەھىر	Hangĝoŭo
مەسىھچىلىك	Kristanismo
Séatl	Seattle
Baltimor	Baltimore (Marilando)
ئادېلايدې	Adelajdo
داغىستان	Dagestano
Monzón	Monzono
گۇجارات تىل	Guĝarata lingvo
پورتۇگال تىلى	Portugala lingvo
مۇستاپا كامال	Mustafa Kemal Atatürk
چېچېنىيە	Ĉeĉenio
كۋېچۇئا تىلى	Keĉua lingvaro
ئىنگۇشېتىيە	Inguŝio
شىمالىي ئوسېتىيە	Nord-Osetio
كاباردىنو-بالقارىستان	Kabardio-Balkario
ئالماس	Diamanto
ياپون تىلى	Japana lingvo
Énsklopédiye	Enciklopedio
ئۇيغۇرچە ۋىكىپىدىيە	Vikipedio:Ĉefpaĝo
Latex	LaTeX
كوندېنساتور	Kondensilo
قاراچاي-چېركېسىيە	Karaĉajio-Ĉerkesio
موردوۋىيە	Mordvio
ۋاسكېتبول	Korbopilkado
چاڭجياڭ دەرياسى	Jangzio
ئۇدمۇرتىيە	Udmurtio
مارى	Mariio
ھىمالايا تاغ تىزمىسى	Himalajo
ئاند تاغلىرى	Andoj
قىيىلىق تاغلار	Roka Montaro
Kapétown	Kaburbo
چۇۋاشىيە	Ĉuvaŝio
تەڭرىتاغ	Tianŝan
كاۋكاز تاغ تىزمىسى	Kaŭkazo
تاتارىستان	Tatarstano
1279-يىلى	1279
ۋېىنىست	Vincent van Gogh
باشقۇرتىستان	Baŝkirio
Semerqend	Samarkando
Buxara	Buĥaro
بېتلېخېم	Bet-Leĥem
Andalusiye	Andaluzio
كايمان تاقىم ئاراللىرى	Kajmana Insularo
Kordowa	Kordovo (Hispanio)
شىئەن شەھىرى	Ŝjiano
كابۇل	Kabulo
لاسا شەھىرى	Lasao
غىلاپ	Vagino
تامىل تىلى	Tamila lingvo
پەلسەپە	Filozofio
ئالەم ئايرۇپىلانى	Kosmoflugo
ئالتاي تاغ تىزمىسى	Altajo
تۈر:Candidates for speedy deletion	Kategorio:Tujforigendaj artikoloj
ئالتاي	Respubliko Altaj
پىئانىنو	Piano
Hebe Camargo	Hebe Camargo
Portland, Orégon	Portlando (Oregono)
ئانارخىزم	Anarkiismo
لىبېرالىزىم	Liberalismo
فاشىسىت	Faŝismo
مىللەتچىلىك	Naciismo
غەربىي ساھارا	Okcidenta Saharo
ھىلاري كلىنتون	Hillary Rodham Clinton
خاكاسىيە	Ĥakasio
Strasburg	Strasburgo
ياكۇتىيە	Jakutio
كرودىيە تىلى	Kroata lingvo
گائۇس	Carl Friedrich Gauss
بۇرياتىيە	Burjatio
جامىس جويىس	James Joyce
كاتالان تىلى	Kataluna lingvo
Burχa	Budho
دىنسىزلىق	Ateismo
لى بەي	Li Bai
دۇنيا بانكىسى	Monda Banko
كونسېرۋاتىپ	Konservismo
شىمالىي ئاتلانتىك ئەھدى تەشكىلاتى	NATO
نوبېل مۇكاپاتى	Nobel-premio
چىن شىخۇاڭ	Qin Shihuangdi
خەن سۇلالىسى	Dinastio Han
فېمىنىزم	Feminismo
ئىدېئولوگىيە	Ideologio
پەي توپ	Badmintono
يۈەن سۇلالىسى	Dinastio Yuan
كولۇمبو	Kristoforo Kolumbo
يەھۇدىلار	Judoj
سېرىق دەريا	Flava Rivero
قۇلاق	Orelo
بۇرۇن	Nazo (organo)
كۆز	Okulo
مۇسكۇل	Muskolo
Töge	Kamelo
پىل	Elefanto
چۈمۈلە	Formiko
سۈي سۇلالىسى	Dinastio Sui
گوللاندىيە تىلى	Nederlanda lingvo
ماگرىت ساچىر	Margaret Thatcher
دېئوكسىرىبونۇكلېئىك كىسلاتا	DNA
سۇڭ سۇلالىسى	Dinastio Song
Çeyze	Melongeno
رۇس تىلى	Rusa lingvo
ساخالىن	Saĥaleno
نېفىت ئېكىسپورت قىلغۇچى دۆلەتلەر تەشكىلاتى (OPEC)	OPEL
خەلقئارا پۇل فوندى تەشكىلاتى	Internacia Monunua Fonduso
دۇنيا سودا تەشكىلاتى	Monda Organizaĵo pri Komerco
سۋاھىلىچە	Svahila lingvo
خەنزۇ تىلى	Ĉina lingvaro
ئۆپكە	Pulmo
نەپەسلىنىش سىستېمى	Spira sistemo
رۇمىنىيە تىلى	Rumana lingvo
بۇلغارىيە تىلى	Bulgara lingvo
يەر تەۋرەش	Tertremo
ماگادان	Magadan
تەبىئىي پەن	Naturscienco
فرانكلىن روزۋېلت	Franklin D. Roosevelt
ﺋﯩﺒﯩﻦ ﺳﯩﻨﺎ	Aviceno
نىلسۇن ماندىلا	Nelson Mandela
مارتىن لوتىر كىڭ	Martin Luther King
Yanardag	Vulkano
ئىسسىق بەلباغ سىكلونى	Uragano
تېلۇگۇ تىلى	Telugua lingvo
گرۇزىن تىلى	Kartvela lingvo
ئىقتىسادشۇناسلىق	Ekonomiko
يېن	Japana eno
قىزىل تۈلكە	Ruĝa vulpo
ئىسكىرىپكا	Violono
چوڭ ئىسكىروپكا	Violonĉelo
ئىسكەندەر زۇلقەرنەيىن	Aleksandro la Granda
ئۆمەر ئىبنى خەتتاب	Umar ibn al-Ĥattab
ئامۇ دەرياسى	Amudarjo
سۈت	Lakto
سۇن جۇڭشەن	Sun Jatsen
شياڭگاڭ	Honkongo
Miami	Miamo
كاراچى	Karaĉio
Rio dé Janéyro	Rio-de-Ĵanejro
سوغۇق ئۇرۇش	Malvarma milito
شاڭخەي شەھىرى	Ŝanhajo
Bilbaw	Bilbao
Séwéliye	Sevilo
چىڭ سۇلالىسى	Dinastio Qing
توماس ئىدىسون	Thomas Alva Edison
ئالبان تىلى	Albana lingvo
باسكى تىلى	Eŭska lingvo
ئاراگون تىلى	Aragona lingvo
ئەرمەن تىلى	Armena lingvo
ئۇكرائىن تىلى	Ukraina lingvo
Walénsiye	Valencio
Malaga	Malago
شۋېتسىيە تىلى	Sveda lingvo
دانىش تىلى	Dana lingvo
نورۋېگىيە تىلى	Norvega lingvo
ليۇكسېمبۇرگ تىلى	Luksemburga lingvo
چېخ تىلى	Ĉeĥa lingvo
سلوۋاك تىلى	Slovaka lingvo
كارل ماركىس	Karl Marx
سلوۋېن تىلى	Slovena lingvo
ماجار تىلى	Hungara lingvo
ۋولتىر	Voltaire
ئېستون تىلى	Estona lingvo
لاتۋىيە تىلى	Latva lingvo
لىتۋا تىلى	Litova lingvo
ھىندى دىنى	Hinduismo
بېلورۇس تىل	Belorusa lingvo
