非洲	Afriko
Nazi Tet-koet	Nazia Germanio
Yù-thai-ngìn	Judoj
Chang Fò	Ĉeng He
Ngí	Orelo
Phi	Nazo (organo)
Ngién	Okulo
Mûn-é	Moskito
Mièn-yòng	Ŝafo
Lo̍k-thò	Kamelo
Phú-nen thung-vu̍t	Mamuloj
Siong	Elefanto
Ngie-kûng	Formiko
Phûng-é	Abelo
Hò-làn-ngî	Nederlanda lingvo
Fà-thi̍t Thit-sṳ-nì Kûng-sṳ̂	Walt Disney Company
Thot-yong Fu̍t-thông Fu̍t-son	DNA
Khiô	Melongeno
Siet	Neĝo
Â-pâ	Patro
Fûn	Minuto
Yù-thai Chhṳ-chhṳ-chû	Hebrea Aŭtonomio
Ngò-lò-sṳ̂-ngî	Rusa lingvo
Tûng-nàm-â Koet-kâ Lièn-mèn	ASEAN
Sakhalin-chû	Saĥalena provinco
Mien-pâu	Pano
Sṳ-kie Mo-yi Chû-chṳt	Monda Organizaĵo pri Komerco
漢語	Ĉina lingvaro
Se-pâu	Ĉelo (biologio)
Hiet-yi̍t	Sango
Hi	Pulmo
Lò-mâ-nì-â-ngî	Rumana lingvo
Pó-kâ-li-â-ngî	Bulgara lingvo
Magadan-chû	Magadana provinco
Chhṳ-yèn Khô-ho̍k	Naturscienco
Het-chhe̍t Mìn	Kurosawa Akira
Franklin D. Roosevelt	Franklin D. Roosevelt
Thi-khiù Khô-ho̍k	Terscienco
Sa̍k-thèu	Rokaĵo
Yùn	Nubo
Kí-hò-ho̍k	Geometrio
Tet-lu-kú-ngî	Telugua lingvo
Thai-hì-chhèn	Atmosfero (astro)
Kak-lû-kit-â-ngî	Kartvela lingvo
Kîn-chi-ho̍k	Ekonomiko
Pîn-kóng	Pangkal Pinang
漢字	Ĉina skribo
Sî-lî-ngì Sṳ-mû	Cirila alfabeto
Lâ-tên sṳ-mû	Latina alfabeto
Vùn-ho̍k	Literaturo
分類:Fap-koet	Kategorio:Francio
分類:Yîm-ngo̍k	Kategorio:Muziko
分類:Vùn-ho̍k	Kategorio:Literaturo
Fù-lì	Vulpo
La̍p-pá	Trumpeto
Â-li̍t-sân-thai sâm-sṳ	Aleksandro la Granda
Kiûn-sṳ-thán-tên Yit-sṳ	Konstantino la 1-a de la Romia Imperio
Set-lû-sṳ thai-ti	Kiro la 2-a
Vùn-mìn	Civilizo
Kau-yuk	Eduko
Kâ-thìn	Familio
Nàm-ngìn	Viro
Fûn-yîn	Geedzeco
Kiûn-sṳ	Militfortoj
Kâ-pî	Kafo
Ngiù-nen	Lakto
Sûn Chûng-sân	Sun Jatsen
Â-yuk-vòng	Aŝoko
香港	Honkongo
Thai-yîn Ti-koet	Brita imperio
Sú-ngì	Seulo
Kâm-nái-thit Koet-chi Kî-chhòng	Internacia Flughaveno John F. Kennedy
上海	Ŝanhajo
Lùn-tûn Hî-sṳ̂-lu Kî-chhòng	Flughaveno London Heathrow
Lùn-tûn Kak-vet Kî-chhòng	Flughaveno London Gatwick
Set-vì-li-â	Sevilo
Chhîn-chhèu	Dinastio Qing
Â-ngì-pâ-nì-â-ngî	Albana lingvo
Pâ-sṳ̂-khiet-ngî	Eŭska lingvo
Â-lâ-kung-ngî	Aragona lingvo
Yîn-koet Hòng-khûng	British Airways
Â-mî-nì-â-ngî	Armena lingvo
Vû-khiet-làn-ngî	Ukraina lingvo
Pâ-lùn-sî-â	Valencio
Shuì-tién-ngî	Sveda lingvo
Tan-ma̍k-ngî	Dana lingvo
Nò-vî-ngî	Norvega lingvo
Kô-thi̍t-fu̍t-lòi-tet Vî-liâm Lòi-pu-nì-tsṳ	Gottfried Wilhelm Leibniz
Tshia̍p-khiet-ngî	Ĉeĥa lingvo
Sṳ̂-lo̍k-phat-khiet-ngî	Slovaka lingvo
Sṳ̂-lo̍k-vì-nì-â-ngî	Slovena lingvo
Hiûng-ngà-li-ngî	Hungara lingvo
Oi-sâ-nì-â-ngî	Estona lingvo
Là-thot-vì-â-ngî	Latva lingvo
Li̍p-thâu-vón-ngî	Litova lingvo
Pha̍k-ngò-lò-sṳ̂-ngî	Belorusa lingvo
Kui-mí-thi̍t-lî Mùn-tet-lie̍t-fû	Dmitrij Mendelejev
Ngièn-chṳ́	Atomo
Lâ-set-fuk	Ernest Rutherford
Hî-lia̍p-ngî	Greka lingvo
Oi-ngì-làn-ngî	Irlanda lingvo
Pô-sṳ̂-ngî	Persa lingvo
Chûng-kau	Religio
Chêu-sién-ngî	Korea lingvo
Chhóng-sṳ-ki	Genezo
Kóng-tûng-fa	Kantona lingvo
Chhut-âi-khi̍p-ki	Eliro
Ye̍t-nàm-ngî	Vjetnama lingvo
Pó-lò	Paŭlo de Tarso
Kô-mièn-ngî	Kmera lingvo
Thai-ngî	Siama lingvo
Mâ-lòi-ngî	Malaja lingvo
Yin-nì-ngî	Indonezia lingvo
Mùng-kú-ngî	Mongola lingvo
Hâ-sat-khiet-ngî	Kazaĥa lingvo
Vû-tsṳ̂-phe̍t-khiet-ngî	Uzbeka lingvo
Thú-khù-màn-ngî	Turkmena lingvo
Yù-thai-kau	Judismo
Hî-pak-lói-ngî	Hebrea lingvo
Â-set-pai-kiông-ngî	Azerbajĝana lingvo
Mâ-khì-tun-ngî	Makedona lingvo
Set-ngì-vì-â-ngî	Serba lingvo
Set-ngì-vì-â Khiet-lò-thi-â-ngî	Serbokroata lingvo
Pô-sṳ-nì-â-ngî	Bosnia lingvo
Kâ-lî-sî-â-ngî	Galega lingvo
Vî-ngì-sṳ̂-ngî	Kimra lingvo
Sû-kak-làn Koi-ngì-ngî	Skotgaela lingvo
Siak-khiet-kau	Sikismo
John Maynard Keynes	John Maynard Keynes
Lufthansa Hòng-khûng	Lufthansa
Ló-chṳ́	Laozio
Kôn-chhóng	Hepato
Shìn	Reno
Thu-é	Kuniklo
Sṳ̀n-kîn Ne-thúng	Nerva sistemo
Sîm-lî-ho̍k	Psikologio
Sṳt-kâ-mèu-nì	Sidarto Gotamo
Mâ-tên Lu-tet	Marteno Lutero
Yî-kâ	Konfuceismo
Thiên-chú-kau	Katolika Eklezio
Tho-kau	Taoismo
Chit-siói	Mjelo
Sa̍t	Lango (anatomio)
Yî-tshóng	Pankreato
Hèu-thèu	Laringo
Fuk-khiet-làn khiùn-tó	Insuloj Falklandoj
Vàng-kak-mo̍k	Toraka diafragmo
Lân-mî	Apendico
Elizabeth Ngi-sṳ	Elizabeto la 2-a (Britio)
Thòng-chhèu	Dinastio Tang
John F. Kennedy	John F. Kennedy
Mìn-chhèu	Dinastio Ming
Dwight D. Eisenhower	Dwight D. Eisenhower
Ronald Reagan	Ronald Reagan
Sat-là-kô-sat	Zaragozo
Kîm Tsang-ngit	Kim Ĝong-il
Ngièn-su Chû-khì-péu	Perioda tabelo
Chû-su̍k	Suo
Mariano Rajoy	Mariano Rajoy
Se-khiûn	Bakterioj
Phù-thò	Vinbero
Phûng-thòng	Mielo
Thông	Sukero
Vòng-theu	Sojfabo
Kûng-chhàng-ho̍k	Inĝenierarto
Vùn-fa	Kulturo
Fan-vun	Sanskrito
Sùn-fàn Hì-thúng	Kardiovaskula sistemo
Sôn	Acido
Yî-ho̍k	Medicino
Néu-Yok Sṳ-kie Mo-yi Chûng-sîm	World Trade Center
Hâ Màn-hâ-tun	Malalta Manhatano
Yàm	Salo
分類:Pâ-sî	Kategorio:Brazilo
Màn-hâ-tun	Manhatano
Ngièn-su	Kemia elemento
Kâ-suk-thu	Akcelo
Li̍t	Forto
Kú	Tamburo
Tsṳt-liông	Maso
Thien-yáng	Filmo
Kîm-su̍k	Metalo (fiziko)
Nùng-ngia̍p	Agrikulturo
Sâng-yîm	Sono
Sṳ̀-kiên	Tempo
Mien-chit	Areo
Kûng-kîn	Kilogramo
Kûng-tshak	Metro
Miéu	Sekundo
Pâu-siuk	Maizo
Kûng-sṳ̂n	Litro
Fà-ngì-kiê	Wall Street
Tûng-nàm-â	Sud-Orienta Azio
Tshùng-khin	Ĉongĉingo
Thiên-tsîn	Tjanĝino
Vú-hon-sṳ	Vuhano
Kú Hî-lia̍p	Antikva Grekio
Thomas Jefferson	Thomas Jefferson
Vùi-sṳ̂-khà	Huesca
Tychy	Tychy
Pu-lie̍t-thap-nì-ngî	Bretona lingvo
Brittany	Bretonio (franca regiono)
Lóng	Surdeco
Chhi̍t-phiang	Malsano
Khien-không	Sano
Sok-lî-â	Sorio
Màn-tó-ngî	Manksa lingvo
Chhiâng-môi-su	Penicilino
Nantes	Nanto (Francio)
Pot-thâm-fó	Tuberkulozo
Mà-chiông	Maĝango
模板:Location map Taiwan	Ŝablono:Situo sur mapo Tajvano
Detroit	Detrojto
Van-lî Tshòng-sàng	Granda Ĉina Muro
Gard-sén	Gard
Gers-sén	Gers
Sông Garonne-sén	Haute-Garonne
Sṳ̀n-sṳn Lò-mâ Ti-koet	Sankta Romia Imperio
Ille-et-Vilaine-sén	Ille-et-Vilaine
Isère-sén	Isère
Chûng-kau Kói-kiet	Reformacio
Sông Loire-sén	Haute-Loire
Lot-sén	Lot
Lozère-sén	Lozère
Maine-et-Loire-sén	Maine-et-Loire
Nì-pu-kap-nì-sat ngi-sṳ	Nebukadnecar la 2-a
Mayenne-sén	Mayenne
Morbihan-sén	Morbihan
Nièvre-sén	Nièvre
Nord-sén	Nord
Calais Hói-hia̍p-sén	Pas-de-Calais
Puy-de-Dôme-sén	Puy-de-Dôme
Sông Pyrénées-sén	Hautes-Pyrénées
Pyrénées-Orientales-sén	Pyrénées-Orientales
Hâ Rhin-sén	Bas-Rhin
Sông Rhin-sén	Haut-Rhin
Saône-et-Loire-sén	Saône-et-Loire
Sarthe-sén	Sarthe
Sông Savoie-sén	Haute-Savoie
Tarn-sén	Tarn
Tarn-et-Garonne-sén	Tarn-et-Garonne
Var-sén	Var (departemento)
Vaucluse-sén	Vaucluse
Vendée-sén	Vendée
Yonne-sén	Yonne
Yî-pí-li-â Pan-tó	Iberio
Lai-kî	Liĉio
Yâ-è	Kokoso
Sa̍k-liù	Granatujo
Chong-fa	Ĝŭanga lingvo
Sông-sok-pu-ngî	Suprasoraba lingvo
Na̍p-ngá-thi̍t-ngî	Naŭatla lingvo
Mí-nàm-kâ-pó-ngî	Minankabaŭa lingvo
Mirandés-ngî	Miranda lingvo
Harvard Thai-ho̍k	Universitato Harvard
Néu-yok Chṳn-khèn Kâu-yi-só	Novjorka Borso
Lie̍t-yî-tha̍t-sén	Provinco Ilerdo
Â-lâ-pak-ngî	Araba lingvo
Kiú-chiu	Kjuŝuo
Si-koet	Ŝikokuo
O-khiet-ngî	Okcitana lingvo
Nàm-fî Hò-làn-ngî	Afrikansa lingvo
Lí Mìn-pok	Ji Mjong-bak
Kâ Mà-chiok	Dompasero
澳門	Makao
Suhl	Suhl
Mühlhausen	Mühlhausen (Turingio)
Fù Kím-Thàu	Hu Jintao
Si̍p Khiûn-phìn	Xi Jinping
Chhòng-kiáng-lu̍k	Ĝirafo (specio)
Phì-âi-mùng-thi̍t-ngî	Piemonta lingvo
Thap-là-kô-na̍p	Taragono
Provence-Alpes-Côte d'Azur	Provenco-Alpoj-Bordo Lazura
Chhṳ̂m-chun-sṳ	Ŝenĵeno
Kóng-tûng	Gŭangdongo
Kóng-sî Chong-chhu̍k Chhṳ-chhṳ-khî	Gŭangŝjio
Mô-kài	La Mastro de l' Ringoj
Badajoz	Badaĥozo
Lu̍k-yì-tó-yen	Gubernio Kagoŝimo
Kiok	Piedo
Sit-thit	Lacertuloj
Altenburg	Altenburg
Kiên	Ŝultro
Midi-Pyrénées	Sudo-Pireneoj
模板:Link FA	Ŝablono:LigoElstara
Wikipedia:Chhâm-siòng	Vikipedio:Diskutejo
Fu-mùng-thi̍t	Vermonto
Hiû-sṳ̂-tûn	Houston (Teksaso)
Kóng-chiu-sṳ	Kantono (Ĉinio)
Chiông Kie-sa̍k	Ĉiang Kai-ŝek
Nàm-kîn-sṳ	Nankingo
Phiang-yèn	Malsanulejo
Kông-sû	Ĝjangsuo
Chet-kông-sén	Ĝeĝjango
Thèn Séu-phìn	Deng Xiaoping
Pet-phu Calais Hói-hia̍p	Nordo-Kaleza Markolo
Pays de la Loire	Luarlandoj
Languedoc-Roussillon	Langvedoko-Rusiljono
Thiap-sat-lò-nì-kâ	Tesaloniko
西藏自治區	Tibeto
Hàng-thung Thien-fa	Poŝtelefono
Thò-niâu	Struto
Manchester	Manchester
Pu-lû-khiet-lìm	Broklino
Fòng-heu-khî	Kvinzo
Liùng-yìn-sṳ	Jongin
Lòng	Lupo
Mâ-lòi Pan-tó	Malaja Duoninsulo
Sîn-yok Sṳn-kîn	Nova testamento
9	9 (nombro)
Zung-gok Thaai-liuk	Ĉeftera Ĉinio
Het-liùng-kông	Hejlongĝjango
Mâ Yîn-kiú	Ma Ying-jeou
Hiông-kóng-tó	Honkonga Insulo
Ngà-tsông-sṳ	Nha Trang
Podolsk	Podolsk
Pô-tô Lì-kok Thu̍k-li̍p-tóng	Partio de la Sendependeco de Porto-Riko
Lì-è	Azeno
Si-chhôn-sén	Siĉuano
Khiu-yok Sṳn-kîn	Malnova testamento
Sṳn-tan-chiet	Kristnasko
Lò-màn Ngî-chhu̍k	Latinida lingvaro
Sâm-kok-hìn	Triangulo
Steve Jobs	Steve Jobs
Yin-Êu Ngî-ne	Hindeŭropa lingvaro
Breinigerberg	Breinigerberg
Lo-fú	Tigro
Fù-ôn Khà-lo̍k-sṳ̂ Yit-sṳ	Johano Karlo la 1-a (Hispanio)
Súi-ngièn-sṳ	Suvon
Louis Couturat	Louis Couturat
Thai-thièn Kóng-vet-sṳ	Deĝon
Sṳ̂-khâm-tit-nâ-vì-â	Skandinavio
Fu̍k-fa̍t-chiet	Pasko
Koet-chi Yîm-phiêu	Internacia Fonetika Alfabeto
Hò-pet	Hebejo
Phú-lìm-sṳ̂-tun Thai-ho̍k	Universitato Princeton
Fôn-hìn-muk	Cikonioformaj birdoj
台灣	Tajvano
Sa̍k-yù	Nafto
Hài-è	Ŝuo
Ngiùn-hòng	Banko
Ngièn-lun Chhṳ-yù	Parollibereco
Oi-ngì-làn	Irlando (insulo)
Cheshire	Cheshire
Cumbria	Kumbrio
Lancashire	Lankaŝiro
Northumberland	Northumberland
Tyne and Wear	Tyne and Wear
County Durham	County Durham
Pet Yorkshire	North Yorkshire
Lincolnshire	Lincolnshire
Nottinghamshire	Nottinghamshire
Derbyshire	Derbyshire
Merseyside	Merseyside
Leicestershire	Leicestershire
Rutland	Rutland
Lû-sùn	Lu Xun
Northamptonshire	Northamptonshire
Devon	Devon
Oxfordshire	Oxfordshire
Wiltshire	Wiltshire
Hampshire	Hampshire
Buckinghamshire	Buckinghamshire
Surrey	Surrey
West Sussex	West Sussex
East Sussex	East Sussex
Kent	Kent
Thai Lùn-tûn	Granda Londono
7	7 (nombro)
8	8 (nombro)
Lu̍k-é	Cervedoj
Pên	Glacio
Chú ke Khì-tó-vùn	Patro nia
Ngìn-lui-ho̍k	Antropologio
Fùng-hói	Ruĝa Maro
Oi-tên-páu	Edinburgo
Pha̍k-set	Blanko
Marseille	Marsejlo
Thai-chhûng-thèu	Cepo
6	6 (nombro)
Kôn-fông ngî-ngièn	Oficiala lingvo
Kháu-kú-ho̍k	Arkeologio
George H. W. Bush	George H. W. Bush
Pâ-ngì-kòn pan-tó	Balkana duoninsulo
Dmitry Medvedev	Dmitrij Medvedev
Entrena	Entrena
Sîn-kau	Protestantismo
Selena	Selena
Mî-koet Thai-khûng Chúng-shu	NASA
Thai Put-lie̍t-tiên-tó	Britio (insulo)
Pâ-le̍t-sṳ̂-thán	Palestino
10	10 (nombro)
Lila Downs	Lila Downs
Lia̍p-pau	Gepardo
Liverpool	Liverpool
Bremen	Bremeno
Sîn Nò-vî-ngî	Nynorsk
Meu-thèu-tiâu	Strigoformaj birdoj
Sṳ̀	Horo
Fap-lò-ngî	Feroa lingvo
Meu-khô	Felisedoj
Koet-chi Thai-khûng Chhàm	Internacia Kosmostacio
Tà-la-sṳ	Da Lat
Tat-tat-ngî	Tatara lingvo
Tshûng-liông	Pezo
Tsûng-su	Daktilopalmo
Fan-tshiet-sṳ	Phan Thiết
Sî Fut-lî-sî-ngî	Frisa lingvaro
Séu Vòng-chṳ́	La Eta Princo
Phiàng-fông kûng-tshak	Kvadrata metro
Li̍p-fông kûng-tshak	Kubmetro
Fàn-chiet-thûng-vu̍t-mùn	Anelidoj
Chhú-khô	Musedoj
Lû-sêm-nì-â-ngî	Rusina lingvo
Ede (Hò-làn)	Ede
Fú-kîn	Granda orcino
Sâ-thi̍t-fut-lî-sî-ngî	Saterfrisa lingvo
Liû-khiù-koet	Rjukju-reĝlando
Pet-fut-lî-sî-â-ngî	Nordfrisa lingvo
Â-mê-ha̍p-lâ-ngî	Amhara lingvo
蝠婆	Kiropteroj
Tarnobrzeg	Tarnobrzeg
Tiau-ǹg-thòi Lie̍t-yí	Senkaku-insuloj
Khiung-fò-tóng (Mî-koet)	Respublikana Partio (Usono)
Â-sṳ̂-thù-lî-â-sṳ̂-ngî	Asturia lingvo
中國	Ĉinio
O-thi-li Pâ-vî-li-â-ngî	Bavara lingvo
Mìn-chú-tóng (Mî-koet)	Demokrata Partio (Usono)
Sàng-tû-sṳ	Ĉengduo
Âi-sṳ̂-thi̍t-lùi-mâ-thu-lâ-ngî	Ekstremadura lingvo
Séu-su mìn-chhu̍k	Malplimulto
Khiet-là-khô-fû	Krakovo
臺灣省	Provinco Tajvano
Sîn-kâ-po Hòng-khûng Kûng-sṳ̂	Singapore Airlines
Thien-nó Thôn-chhèn Só-mèu	Komputila tomografio
Vî-nî-sṳ̂-ngî	Venecia lingvo
Vì-phú-sêm-ngî	Vepsa lingvo
Fu̍t-lò-ngî	Voroa lingvo
Pân-mâ	Zebro
Khô-sî-kâ-ngî	Korsika lingvo
Buryat-ngî	Burjata lingvo
Sùn-tho-chûng	Metodistoj
Suk-vú-ngî	Cebua lingvo
Chavacano-ngî	Ĉabakana lingvo
Tha̍t-lò-phî-thû Ngî-hì	Dravida lingvaro
客家語	Hakaa lingvo
Fut-liù-li-ngî	Friula lingvo
Kàm-ngî	Gana lingvo
Pok-vu̍t-kón	Muzeo
Yin-thu Yî-lóng Ngî-chhu̍k	Hindirana lingvaro
Thai-yùng-meu	Granda pando
Kalmyk-ngî	Kalmuka lingvo
Mân-ngî	Manĉura lingvo
Kû-li̍p ngî-ngièn	Senparenca lingvo
Kit-là-kî-ngî	Gila lingvo
Khà-sû-pí-ngî	Kaŝuba lingvo
Karachay-Balkar-ngî	Karaĉaja-balkara lingvo
Lùn-pâ-tí-ngî	Lombarda lingvo
Sú	Mano
Thu fú	Du Fu
Maranao-ngî	Maranaa lingvo
O-lî-â-ngî	Odia lingvo
Ngìn-khiéu	Loĝantaro
Nò-man-thi-ngî	Normanda lingvo
Pâng-â-sî-nâm-ngî	Pangasina lingvo
Pet-sat-mí-ngî	Nord-samea lingvo
O-set-thôi-ngî	Oseta lingvo
Sî-sî-lî-ngî	Sicilia lingvo
Sat-tên-nî-â-ngî	Sarda lingvo
Nì-ngá-ngì-ngî	Nevara lingvo
Valparaíso	Valparaiso
Yên-yèn	Aktoro
Thap-kâ-lo̍k-ngî	Tagaloga lingvo
Thùng	Bronzo
Vlaams-ngî	Flandra lingvo
Fà-liùng-ngî	Valona lingvo
Sú-ngî	Signolingvo
Yî-ngî	Siĉuana jia lingvo
Międzyrzec Podlaski	Międzyrzec Podlaski
Phiêu-chún Chhông-ngî	Tibeta lingvo
Ngá-shuì-ngá-shuì-ngî	Varaja lingvo
N̂g-ngî	Vua lingvo
Woodrow Wilson	Woodrow Wilson
Fu̍t-sân-sṳ	Foŝan
Ngiù-chîn Thai-ho̍k	Universitato de Oksfordo
Sú-tsṳ́	Fingro
Sṳ̍p-thiàu Kie-min	La Dekalogo
Yok-hon-nì-sṳ̂-páu	Johanesburgo
Kî-tuk Kau-fi	Eklezio
Pau-é	Leopardo
Sîn-kiông	Ŝinĝjango
Muk-kôa	Papajo
Pu-lî-sṳ̂-pân	Brisbano
Vî-liâm Lùn-khìm	Wilhelm Conrad Röntgen
Chû-chhèu	Dinastio Zhou
Ido-ngî	Ido (lingvo)
Brad Pitt	Brad Pitt
Pa̍k-kiûng	Blanka Domo (Vaŝingtono)
Tha̍t-mâ-thai-ngî	Dalmata lingvo
Tat-tat-chhu̍k	Tataroj
Thai-fán-sṳ	Osako
Sên-khiù-ngî	Lingwa de Planeta
Kiam-khiâu Thai-ho̍k	Universitato de Kembriĝo
Kûng-khín	Hektaro
Sé-lî	Bapto
Pông-hâ	Astmo
Chuk	Bambuo
Hiligaynon-ngî	Hiligajnona lingvo
Fù Tsṳ-mìn	Ho Chi Minh
Thièn-piên-fú	Dien Bien Phu
Khûn-sṳ-làn-chû	Kvinslando
Ha-liùng-sṳ	Ha Long
Mìn-nì-â-pô-li-sṳ̂	Minneapolis
Li-kú-lî-â-ngî	Ligura lingvo (latinida)
Phô-lò-chû	Borneo
Khà-phién-phién-kâm-ngî	Pampanga lingvo
Sun-fa-sṳ	Hue
Tshòng-thu	Longo
Sṳ̂-chhù-chṳ̂-lu	Silka Vojo
Mô-li-ngî	Maoria lingvo
Mên-tûng-ngî	Min-donga lingvo
Tô-se-pâu sâng-vu̍t	Metazoo
Mên-nàm-ngî	Minnana lingvo
Tshiên-ngièn	Jarmilo
Ho̍k-miàng	Dunoma nomsistemo
Vì-tô-li-â-chû	Viktorio (Aŭstralio)
Chong-chhu̍k	Ĝŭangoj
Aung San Suu Kyi翁山蘇姬	Aung San Suu Kyi
Yok-hon-fuk-yîm	Evangelio laŭ Johano
William Vòng-chṳ́	William Mountbatten-Windsor
Chhṳ̀n Kóng-sâng	Jackie Chan
12	12 (nombro)
Vok-là-phú-khiet-ngî	Volapuko
Toshiro Mifune	Mifune Toshiro
Kám-lám-su	Olivarbo
Só-lò-mùn-vòng	Salomono
O-khiet-làn	Auckland
Chhṳ̍t-sien	Rekto
11	11 (nombro)
13	13 (nombro)
Sûn-chṳ́	Sun Tzu
Sṳn-lìn	Sankta Spirito
Lû-pu-lìm	Lublin
Thì-thèu	Ternukso
100	100 (nombro)
Tshit-thèu	Genuo
Tô-piên-hìn	Plurlatero
Nàm Chûng-koet Hói	Sudĉina Maro
Campora San Giovanni	Campora San Giovanni
Pien-set-liùng	Ĥameleono
Bloemfontein	Bloemfontein
Ngiam-set-thí	Kromosomo
O-khiet-làn Vùn-fap Ho̍k-káu	Auckland Grammar School
Ngióng-kông	Jangono
Ma̍k-tông-lò Kûng-sṳ̂	McDonald's
1000000	Miliono
Meu-miàng-sṳ	Maoming
Liú-chiu-sṳ	Ljuĝou
Pet-pan-khiù	Norda duonglobo
Ló-chhú	Muso (besto)
Thí-tsit	Volumeno
Het-tsṳ̂	Herco
Pak-pân-khiet	Burbank (Kantono Los-Anĝeleso)
Sien-lia̍p-thí	Mitokondrio
Yî-sên	Kuracisto
Ki-sa̍k-chhṳn	Stonehenge
Chúng-thí Kîn-chi-ho̍k	Makroekonomiko
Ágreda	Ágreda
Lu-kâ-fuk-yîm	Evangelio laŭ Luko
Sîn Kí-nui-â	Nov-Gvineo
Sṳ́-thù-hàng-chhon	Agoj de la Apostoloj
Mô-hái	Krabo
PH	PH (kemia parametro)
Khì-tó	Preĝo
Ôn-fui-sén	Anhujo
Nui Mùng-kú	Interna Mongolio
Kîm Ngit-sṳ̀n	Kim Il-sung
Chhái-na̍p Koet-chi Phú-chhu Ngî-ngièn Thoi-péu-thòn	Delegacio por alpreno de la lingvo internacia
Pí-tet-kô-sṳ̍p	Bydgoszcz
Nottingham	Nottingham
Thai-ví-vòng	Davido
Li-vi-ki	Levidoj
Sṳ̂-thán-fuk Thai-ho̍k	Universitato Stanford
Fuk-kian	Fuĝjano
Kûng-khiet	Gramo
Mùng-kú-tshu̍k	Mongoloj
Khí-sṳ-liu̍k	Apokalipso de Johano
Kô-yòng-sṳ	Gojang
Fu-chhôn-sṳ	Buĉon
Sàng-nàm-sṳ	Songnam
Ôn-sân-sṳ	Ansan
Ôn-yông-sṳ	Anjang
Chhîn-chû-sṳ	Ĉeongju
Chhûn-chhôn-sṳ	Ĉunĉon
Buckingham Kiûng	Palaco Buckingham
Hói-nàm	Hajnano
Yén-tûng	Fora Oriento
Ngiên-kiu	Scienca esplorado
Kâm-suk	Gansuo
Pha̍k Se-pâu	Leŭkocito
York	York
Tsiú	Kubuto
Sṳ̂n-min-ki	Readmono
Sû-chû-sṳ	Suĝoŭo
Vûn-chû-sṳ	Venĝou
Windsor Sàng-páu	Kastelo Windsor
Hòn-chhu̍k	Hanoj
Nèn-pô-sṳ	Ningbo
Tet-koet-ngìn	Germanoj
Ko-men	Alergio
Fù-khì	Hirudo
Kîm-yùng	Financoj
1000	1000 (nombro)
Mìn-su-ki	Nombroj
Liu̍k Khiet-vùn	Kevin Rudd
Yùn-nàm	Junano
Vû-â	Korvo
Plymouth	Plymouth
Sân-tûng	Ŝandongo
Pí	Brako
Derby-sṳ	Derby
Thàn-khîn Fa-ha̍p-vu̍t	Hidrokarbido
Hò-nàm	Henano
Montehermoso	Montehermoso
Liâu-nèn	Ljaŭningo
El Cid	Cido
Jim Morrison	Jim Morrison
Kóng-khiéu	Haveno
Kit-lìm	Ĝilinio
Fù-nàm	Hunano
Chhiâng-hói	Ĉinghajo
Vì-ngâ-ngì-tshu̍k	Ujguroj
Rhône-sén	Rhône (departemento)
Koet-kâ Kûng-yèn	Nacia parko
Pâ-lì Charles-de-Gaulle Koet-chi Kî-chhòng	Flughaveno Roissy-Charles-de-Gaulle
Chṳ̂-sán	Aktivo
O-le̍t-liòng	Aŭreliano
Fù-pet	Hubejo
Sân-sî	Ŝanŝio
Hòng-khûng Kûng-sṳ̂	Flugkompanio
Hò-khiéu-vân	Estuaro
Chûng-set	Bruna
Kui-chû	Gŭiĝoŭo
Berkelland	Berkelland
Chûng-khi Sṳ̀n-kîn Ne-thúng	Centra nerva sistemo
Yî-fut-só	Efeso
Ôn-tha̍t-màn Hói	Andamana Maro
Yok-sû-â-ki	Josuo (libro)
Sî-pet Yîn-kak-làn	Nordokcidenta Anglio
Shám-sî-sén	Ŝenŝjio
Tûng-pet Yîn-kak-làn	Nordorienta Anglio
Tûng Midlands	East Midlands
Tûng Yîn-kak-làn	Oriento de Anglio
Tûng-nàm Yîn-kak-làn	Sud-orienta Anglio
Sî-nàm Yîn-kak-làn	Sud-okcidenta Anglio
模板:Commonscat	Ŝablono:Commonscat
Sî Midlands	West Midlands
Yorkshire lâu Humber	Yorkshire and the Humber
Kòn Se-pâu	Praĉelo
Lò-mâ-sû	Epistolo al la romanoj
Mâ-liuk-kap Hói-hia̍p	Malaka Markolo
Yù-thai Vòng-koet	Regno de Jehuda
Fî-yí Mî-koet Het-ngìn	Afrik-usonanoj
Mà-sat-chû-set Lî-kûng Ho̍k-yen	Masaĉuseca Instituto de Teknologio
Pô-sṳ-tun Thai-ho̍k	Universitato de Bostono
Yâ-lû Thai-ho̍k	Universitato Yale
Fûn-lî	Nupto
Fî-li̍p-pí-sû	Epistolo al la filipianoj
Thiên-koet Pat-fuk	Beatecoj
Mî-koet Lièn-pâng Chún-phi Ne-thúng	Federacia Rezerva Sistemo (Usono)
Kúai-é	Anuro
Hâ Sî-lî-sî-â-sén	Malsuprasilezia Provinco
Khù-â-vì - Pô-mî-là-nì-â-sén	Kujavia-Pomeria Provinco
Lû-pu-lìm-sén	Lublina Provinco
Lû-pu-sṳ̂-khà-sén	Lubuŝa Provinco
Lò-tsṳ-sén	Lodza Provinco
Séu Pô-làn-sén	Malgrandpollanda Provinco
Mâ-tsó-fû-sá-sén	Mazovia Provinco
O-pô-lòi-sén	Opola Provinco
