Αφρική	Afriko
Κέιμπριτζ	Kembriĝo (Britio)
Εθνικό Πάρκο Γιέλοουστοουν	Nacia Parko Yellowstone
Αδόλφος Χίτλερ	Adolf Hitler
Λευκή της Καστίλης	Blanka de Kastilio
Facebook	Facebook
WikiLeaks	WikiLeaks
Τζούλιαν Ασάνζ	Julian Assange
Α΄ Παγκόσμιος Πόλεμος	Unua mondmilito
Β΄ Παγκόσμιος Πόλεμος	Dua mondmilito
Κολωνία	Kolonjo
Διαφθορά	Korupto
Βικιβιβλία	Vikilibroj
Αουγούστο Πινοσέτ	Augusto Pinochet
Βικιφθέγματα	Vikicitaro
Βικιταξίδια	Vikivojaĝo
Βότκα	Vodko
Βάφλα	Vaflo
Ρολόι	Horloĝo
Ubuntu	Ubuntu (linukso)
Σκόπια	Skopjo
Γκντίνια	Gdynia
Linux	Linukso
Μπομπ Ντίλαν	Bob Dylan
Στσέτσιν	Szczecin
Μαθηματικά	Matematiko
U2	U2
Λατινική γλώσσα	Latina lingvo
Μπαχρέιν	Barejno
Αρμενία	Armenio
Σφηνοειδής γραφή	Kojnoskribo
Σωματίδιο Χιγκς	Bosono de Higgs
Σερβία	Serbio
Σελήνη	Luno
Κωνσταντινούπολη	Istanbulo
Αυστραλία	Aŭstralio
Μπομπ Μάρλεϊ	Bob Marley
Καρλ Σαγκάν	Carl Sagan
Βιοαστρονομία	Astrobiologio
Χρυσή Πλάκα του Πάιονηρ	Tabulo de la kosmosondiloj Pioneer
Φυσική	Fiziko
Αργεντινή	Argentino
Τηλεπικοινωνίες	Telekomunikado
Περού	Peruo
Βιολογία	Biologio
ΑΤΙΑ	Nifo
Βόρεια Κορέα	Nord-Koreio
Καμπότζη	Kamboĝo
Ζώνη του Κάιπερ	Kujper-zono
Κοράνιο	Korano
Δεινόσαυροι	Dinosaŭro
Ζωολογία	Bestoscienco
Ισλάμ	Islamo
Αχλάδι	Pirarbo
Βιβλιοθήκη της Αλεξάνδρειας	Librejo de Aleksandrio
Λιουμπλιάνα	Ljubljano
Σαλβαδόρ Αγιέντε	Salvador Allende
Βοτανική	Plantoscienco
Λεχ Βαλέσα	Lech Wałęsa
Τροχός	Rado
Εγκυκλοπαίδεια ή Λεξικό αλφαβητικά ταξινομημένο των τεχνών και των επαγγελμάτων	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
Ντενί Ντιντερό	Denis Diderot
Μουντάνεουμ	Mundaneum
Ειρήνη	Paco
Εγκυκλοπαίδεια Μπριτάνικα	Encyclopaedia Britannica
Λυών	Liono
Ευρωπαϊκή Ένωση	Eŭropa Unio
Φιλιππούπολη	Plovdiv
Internet Archive	Internet Archive
Ο Πόλεμος των Άστρων	Star Wars
Παγκόσμιος Ιστός	TTT
Γυναίκα	Virino
Σόφια	Sofio
Υδραγωγείο	Akvedukto
Δον Κιχώτης	Kiĥoto
Ποίηση	Poezio
Ιός υπολογιστή	Komputviruso
Πυρηνικό ατύχημα του Τσερνόμπιλ	Nuklea akcidento de Ĉernobilo
Μιλάνο	Milano
Φιλία	Amikeco
Μνήμη	Memoro
Αρθούρος Ρεμπώ	Arthur Rimbaud
Τορίνο	Torino
Λεμόνι	Citrono
Σαρλ Μπωντλαίρ	Charles Baudelaire
Σταντάλ	Stendhal
Μπανάνα	Banano
Εμίλ Ζολά	Émile Zola
666	666
Άνθος	Floro
Γκούγκολ	Guglo
Τάφρος των Μαριανών	Mariana Fosego
Βλαντίμιρ Βισότσκι	Vladimir Visockij
Έβερεστ	Ĉomolungmo
Ανατομία	Anatomio
Πόλη	Urbo
Ναπολέων Α΄ της Γαλλίας	Napoleono Bonaparte
Όρος Όλυμπος (Άρης)	Olympus Mons
Φυσιολογία	Fiziologio
Αστέρας	Stelo
Βεζούβιος	Vezuvio
Ήλιος	Suno
Ουρανός	Ĉielo
Λουί Παστέρ	Louis Pasteur
Έτος φωτός	Lumjaro
Χωριό	Vilaĝo
Βίκτωρ Ουγκώ	Victor Hugo
Ωκεανία	Oceanio
Τζουζέπε Γκαριμπάλντι	Giuseppe Garibaldi
Ορβιέτο	Orvieto
Στίβος	Atletiko
Λογοκρισία	Cenzuro
Ηλιακό σύστημα	Sunsistemo
Βαλτική Θάλασσα	Balta Maro
Τεργέστη	Triesto
Βιστούλας	Vistulo
Λεωφόρος Ηλυσίων Πεδίων	Avenuo de la Elizeaj Kampoj
Όντερ	Odro
Υδρογόνο	Hidrogeno
Ήλιο	Heliumo
Κόλαση	Infero
Wikimedia Commons	Vikimedia Komunejo
Καθαρτήριο	Purgatorio
Άνγκελα Μέρκελ	Angela Merkel
Λίθιο	Litio
Βηρύλλιο	Berilio
Ηχείο	Laŭtparolilo
Βιβλίο	Libro
Ημέρα	Tago
Ανατολικό Τιμόρ	Orienta Timoro
Έτος	Jaro
Αιώνας	Jarcento
Λοτζ	Lodzo
Λευκό Όρος	Blanka Monto
Ρήνος	Rejno
Όσλο	Oslo
Βόννη	Bonn
Άγιοι Πάντες	Ĉiuj Sanktuloj
Κατοβίτσε	Katowice
Μαύρη τρύπα	Nigra truo
Λουίς δε Καμόες	Luís Vaz de Camões
Ομοφυλόφιλος	Gejo
Δήμητρα (πλανήτης νάνος)	Cereso
Λισαβόνα	Lisbono
Χαουμέια	Haŭmeo
Ροδανός	Rodano
Μακεμάκε	Makemako (nanoplanedo)
Έρις (πλανήτης νάνος)	Eriso
Ντουμπάι	Dubajo
Λιονέλ Μέσι	Lionel Messi
Πάντοβα	Padovo
Βόριο	Boro
Νικόλαος Κοπέρνικος	Koperniko
Βερσάιγ	Versailles
Λούντβιγκσμπουργκ	Ludwigsburg
Άνθρακας	Karbono
Αλεσσάντρο Ντελ Πιέρο	Alessandro del Piero
Βόλγας	Volgo
Άζωτο	Nitrogeno
Μπέργκαμο	Bergamo
Οξυγόνο	Oksigeno
ΦΚ Ιντερνατσιονάλε Μιλάνο	Inter Milano
Νηλ Γιανγκ	Neil Young
Πλανήτης	Planedo
Κλεοπάτρα Ζ΄ της Αιγύπτου	Kleopatra
Μουσική	Muziko
Βενετία	Venecio
Naruto	Naruto (mangao)
Πάδος	Pado
Σαρμ ελ Σέιχ	Ŝarm el Ŝeiĥ
Νέβας	Neva
Θερμόμετρο	Termometro
Ρεν	Rennes
Λιλ	Lille
Μόσχα	Moskvo
Φθόριο	Fluoro
Ιταλική γλώσσα	Itala lingvo
Τσιουάουα (σκύλος)	Ĉivava hundo
Νέον	Neono
Τσιουάουα (πολιτεία)	Chihuahua
Αγία Πετρούπολη	Sankt-Peterburgo
Τσαντ	Ĉado
Νάτριο	Natrio
Βορράς	Nordo
Μαγνήσιο	Magnezio
Neon Genesis Evangelion	Neon Genesis Evangelion
Αργίλιο	Aluminio
Νέα Ζηλανδία	Nov-Zelando
Νότος	Sudo
Ινδία	Barato
Πυρίτιο	Silicio
Φράγκιο	Franciumo
Τουβαλού	Tuvalo
One Piece	One Piece
Φωσφόρος	Fosforo
Αντρέ Μαρί Αμπέρ	André-Marie Ampère
Σίδηρος	Fero
Τόνγκα	Tongo
Δύση	Okcidento
Αλεσάντρο Βόλτα	Alessandro Volta
Θείο	Sulfuro
Σαμόα	Samoo
Ανατολή	Oriento
Νήσοι Σολομώντα	Salomonoj
Βανουάτου	Vanuatuo
Μολιέρος	Molière
Χλώριο	Kloro
Ντελφτ	Delft
Παπούα Νέα Γουινέα	Papuo-Nov-Gvineo
Ουίλλιαμ Σαίξπηρ	William Shakespeare
Παραμύθι	Fablo
Νότια Ολλανδία	Suda Holando
Παλάου	Palaŭo
Αργό	Argono
Ναουρού	Nauro
Mozilla Firefox	Mozilla Firefox
Βόρεια Ολλανδία	Norda Holando
Ομόσπονδες Πολιτείες της Μικρονησίας	Federacio de Mikronezio
Κάλιο	Kalio
Ζηλανδία (επαρχία)	Zelando
Ασβέστιο	Kalcio
Φλέβολαντ	Flevolando
Μόλυβδος	Plumbo
Νήσοι Μάρσαλ	Marŝala Insularo
Κιριμπάτι	Kiribato
Μογγολία	Mongolio
Φίτζι	Fiĝioj
Σκάνδιο	Skandio
Στίβι Γουόντερ	Stevie Wonder
Χαϊλμπρόν	Hajlbrono
Τιτάνιο	Titano (elemento)
Βενεζουέλα	Venezuelo
Σκάκι	Ŝako
Τζένγκις Χαν	Ĝingis-Ĥano
Βανάδιο	Vanado
Μέιν	Majno
Χρώμιο	Kromo
Άλογο	Ĉevalo
Άμστερνταμ	Amsterdamo
Όπλο	Armilo
Ζώο	Bestoj
Σουρινάμ	Surinamo
Μαγγάνιο	Mangano
Παραγουάη	Paragvajo
Γουιάνα	Gujano
Τέχνη	Arto
Ισημερινός (χώρα)	Ekvadoro
Ρήνιο	Renio
Κολομβία	Kolombio
Κοβάλτιο	Kobalto
Ρακίνας	Jean Racine
Βολφράμιο	Volframo
Νικέλιο	Nikelo
Φράουλα	Frago
Πιερ Κορνέιγ	Pierre Corneille
Βουδισμός	Budhismo
Χρόνινγκεν (πόλη)	Groningen (urbo)
Βολιβία	Bolivio
Όσμιο	Osmio
Χρόνινγκεν (επαρχία)	Groningen (provinco)
Χαλκός	Kupro
Τρινιντάντ και Τομπάγκο	Trinidado kaj Tobago
Πολ Βερλαίν	Paul Verlaine
Φυτό	Plantoj
Άγιος Βικέντιος και Γρεναδίνες	Sankta Vincento kaj Grenadinoj
Ψευδάργυρος	Zinko
Νιου Χάμσαϊρ	Nov-Hampŝiro
Αγία Λουκία	Sankta Lucio
Μπιάλιστοκ	Bjalistoko
Λεονάρντο ντα Βίντσι	Leonardo da Vinci
Άγιος Χριστόφορος και Νέβις	Sankta-Kito kaj Neviso
Μύκητας	Fungoj
Ντάριο Φο	Dario Fo
Τζαμάικα	Jamajko
Γρενάδα	Grenado (lando)
Φρίσλαντ	Frislando
Μασαχουσέτη	Masaĉuseco
Ντρέντε	Drenthe
Οφεράισσελ	Overijssel
Γουατεμάλα	Gvatemalo
Χέλντερλαντ	Gelderland
Ουτρέχτη (επαρχία)	Utrecht (provinco)
Google Chrome	Google Chrome
Μπαχάμες	Bahamoj
Κονέκτικατ	Konektikuto
Όρνιθα	Koko
Αντίγκουα και Μπαρμπούντα	Antigvo-Barbudo
Χαβάη	Havajo
Ονδούρα	Honduro
Δομινίκα	Dominiko
Τζέρσεϊ	Ĵersejo
Δομινικανή Δημοκρατία	Domingo
Οικόσιτος χοίρος	Porko
Αρκτικός Ωκεανός	Arkta Oceano
Αϊτή	Haitio
Ελ Σαλβαδόρ	Salvadoro
Ιράν	Irano
Ιράκ	Irako
Αλάσκα	Alasko
Άσσεν	Assen
Σοφία	Saĝo
Κόστα Ρίκα	Kostariko
Ισραήλ	Israelo
Ουτρέχτη (πόλη)	Utrecht
Παναμάς	Panamo
Υεμένη	Jemeno
Ράντσταντ	Randstad
Λωζάνη	Laŭzano
Ιός	Viruso (biologio)
Πολωνική γλώσσα	Pola lingvo
Ιορδανία	Jordanio
Νικαράγουα	Nikaragvo
Φλόριντα	Florido
Κιργιζία	Kirgizio
Αριζόνα	Arizono
Κουβέιτ	Kuvajto
Λάος	Laoso
Λίβανος	Libano
Όρεγκον	Oregono
Μαλδίβες	Maldivoj
Αμερική	Ameriko
Γιούτα	Utaho
Βους ο ταύρος	Bovo
Μαλαισία	Malajzio
Μιχαήλ Μπουλγκάκοφ	Miĥail Bulgakov
Μιανμάρ	Birmo
Νεπάλ	Nepalo
Αντρέι Ρουμπλιόφ	Andreo Rublov
Ομάν	Omano
Πακιστάν	Pakistano
Τζέιμς Μποντ	James Bond (fikcia universo)
Κατάρ	Kataro
Αντισφαίριση	Teniso
Φρανσουά Βιγιόν	François Villon
MySQL	MySQL
Σαουδική Αραβία	Sauda Arabio
Αντρέι Ταρκόφσκι	Andrei Arsenjewitsch Tarkowski
Σρι Λάνκα	Sri-Lanko
Ιωσήφ Στάλιν	Josif Stalin
Ραβδωτός κώδικας	Strekokodo
Συρία	Sirio
Πλάτων	Platono
Γάλλιο	Galiumo
Γιόζεφ Μπρόντσκι	Iosif Brodskij
Τατζικιστάν	Taĝikio
Πόκεμον	Pokemono
Δημοκρατία της Κίνας	Respubliko Ĉinio
YouTube	YouTube
Γερμάνιο	Germaniumo
Αριστοτέλης	Aristotelo
Ταϊλάνδη	Tajlando
Τρένο	Trajno
Αρσενικό (χημικό στοιχείο)	Arseno
Ραδιόφωνο	Radiofonio
Μέριλ Στριπ	Meryl Streep
Τουρκμενιστάν	Turkmenio
Αμπακάν	Abakan
Σελήνιο	Seleno
Ιρίδιο	Iridio
Ηνωμένα Αραβικά Εμιράτα	Unuiĝintaj Arabaj Emirlandoj
Βρώμιο	Bromo
Λευκόχρυσος	Plateno
Βιετνάμ	Vjetnamio
Τσάρλι Τσάπλιν	Charlie Chaplin
Νοβοσιμπίρσκ	Novosibirsko
Νότια Κορέα	Sud-Koreio
Γιόζεφ Πιλσούντσκι	Józef Piłsudski
Οι Σίμσονς	La Simpsonoj
Αικατερινούπολη	Jekaterinburg
Κρυπτό	Kriptono
Αφγανιστάν	Afganio
Gangnam Style	Gangnam Style
Νίζνι Νόβγκοροντ	Niĵnij Novgorod
Tζ. Ρ. Ρ. Τόλκιν	John Ronald Reuel Tolkien
Λεμονάδα	Limonado
Σαμάρα (Ρωσία)	Samara (urbo)
Ρουβίδιο	Rubidio
Χρυσός	Oro
Ομσκ	Omsk
Διώρυγα Σουέζ	Sueza Kanalo
Καζάν	Kazano
Επιστήμονας	Sciencisto
Μπανγκλαντές	Bangladeŝo
Bleach (μάνγκα)	Bleach
Φραντς Κάφκα	Franz Kafka
Τσελιάμπινσκ	Ĉeljabinsk
Ροστόφ επί του Ντον	Rostov-na-Donu
Χόρχε Λουίς Μπόρχες	Jorge Luis Borges
Μάλι	Malio
Σωκράτης	Sokrato
Βόλγκογκραντ	Volgogrado
Ανγκόλα	Angolo
Περμ	Permjo
Μπουτάν	Butano
Twitter	Twitter
Κρασνογιάρσκ	Krasnojarsk
Μπρουνέι	Brunejo
Μπρατς	Brač
Τανζανία	Tanzanio
Υδράργυρος	Hidrargo
Ρόαλντ Αμούνδσεν	Roald Amundsen
Χάρι Μούλις	Harry Mulisch
Φιλιππίνες	Filipinoj
Κεντροαφρικανική Δημοκρατία	Centr-Afrika Respubliko
Θάλλιο	Taliumo
Νότιος Πόλος	Suda poluso
Βόρειος Πόλος	Norda poluso
Ισαάκ Νεύτων	Isaac Newton
OpenStreetMap	OpenStreetMap
Άλμπερτ Αϊνστάιν	Albert Einstein
Στρόντιο	Stroncio
Πέτρος Α΄ της Βραζιλίας	Petro la 1-a (Brazilo)
Ύττριο	Itrio
Βισμούθιο	Bismuto
Κίτρινο	Flava
Κβαντική μηχανική	Kvantuma mekaniko
Τόγκο	Togolando
Ντόναλντ Τουσκ	Donald Tusk
Τυνησία	Tunizio
Τζον Μπαρντίν	John Bardeen
Ζάμπια	Zambio
Ζιμπάμπουε	Zimbabvo
Πεκίνο	Pekino
Νότιο Σουδάν	Sud-Sudano
Βλαδιβοστόκ	Vladivostok
Δημοκρατία της Τιβά	Tuvio
Μπενίν	Benino
Μποτσουάνα	Bocvano
Βικινέα	Vikinovaĵoj
Μπουρκίνα Φάσο	Burkino
Μπουρούντι	Burundo
Κομόρες	Komoroj
Δημοκρατία του Κονγκό	Respubliko Kongo
Άλκμααρ	Alkmaar
Ποταμός Ομπ	Obo
Λαϊκή Δημοκρατία του Κονγκό	Demokratia Respubliko Kongo
Σαν Αντόνιο	San Antonio (Teksaso)
Τομσκ	Tomsk
Τζιμπουτί	Ĝibutio
Μιμίδιο	Memeo
Πολώνιο	Polonio
Βαυαρία	Bavario
Ισημερινή Γουινέα	Ekvatora Gvineo
Βάδη-Βυρτεμβέργη	Baden-Virtembergo
Ερυθραία	Eritreo
Νέο Δελχί	Nov-Delhio
Άλμελο	Almelo
Πάπας Ιωάννης Παύλος Β΄	Johano Paŭlo la 2-a
Φιοντόρ Ντοστογιέφσκι	Fjodor Dostojevskij
Αμερσφόρτ	Amersforto
Χερσόνησος Καμτσάτκα	Kamĉatko
Τιφλίδα	Tbiliso
Αντρέι Ζαχάρωφ	Andrej Saĥarov
Άστατο	Astato
Γκαμπόν	Gabono
Μαχάτμα Γκάντι	Mohandas Karamchand Gandhi
Αλληλεγγύη (συνδικάτο της Πολωνίας)	Solidareco (Pollando)
Κόμικς	Bildliteraturo
Γκάμπια	Gambio
Γουινέα	Gvineo
Γουινέα-Μπισσάου	Gvineo Bisaŭa
Ακτή Ελεφαντοστού	Ebur-Bordo
Καμερούν	Kameruno
Μάριμπορ	Mariboro
Πράσινο Ακρωτήριο	Kaboverdo
Τσέλιε	Celje
Λεσότο	Lesoto
Λιβερία	Liberio
Κόπερ	Kapodistrio
Λιβύη	Libio
Άαχεν	Aachen
Νόβα Γκόριτσα	Nova Gorica
Μαδαγασκάρη	Madagaskaro
Μαλάουι	Malavio
Στουτγκάρδη	Stutgarto
Όρος Τρίγκλαβ	Triglav
Μαυριτανία	Maŭritanio
Μαυρίκιος (κράτος)	Maŭricio
Μαρόκο	Maroko
Μοζαμβίκη	Mozambiko
Ναμίμπια	Namibio
Νίγηρας	Niĝero
Νιγηρία	Niĝerio
Κάρολος Δαρβίνος	Charles Darwin
Ουγκάντα	Ugando
Ρουάντα	Ruando
Ζιρκόνιο	Zirkonio
Σάο Τομέ και Πρίνσιπε	Sao-Tomeo kaj Principeo
Καρλσρούη	Karlsruhe
Σενεγάλη	Senegalo
Σεϋχέλλες	Sejŝeloj
Κάρολος Λινναίος	Karolo Lineo
Σιέρα Λεόνε	Siera-Leono
Σομαλία	Somalio
Νιόβιο	Niobio
Τζαβαχαρλάλ Νεχρού	Jawaharlal Nehru
Ιούλιος Καίσαρ	Julio Cezaro
Σουδάν	Sudano
Σουαζιλάνδη	Svazilando
Ουράνιο τόξο	Ĉielarko
